lesson,order,title,jlpt,type,pattern,meaning_vi,usage,notes,examples,quiz
2,5,Câu hỏi lựa chọn,N5,basic,N1 ですか。N2 ですka。,Là N1 hay là N2?,Dùng khi người nói phân vân và muốn người nghe xác nhận một trong hai (hoặc nhiều) đối tượng.,"Khi trả lời, chọn trực tiếp N1 hoặc N2, không dùng ""Hai"" hay ""Iie"".","[{""segments"": [{""text"": ""これはボールペンですか。シャープペンシルですか。""}], ""vi"": ""Đây là bút bi hay bút chì kim?""}]","[{""question"": {""segments"": [{""kanji"": ""本"", ""reading"": ""ほん""}, {""text"": ""ですか、""}, {""kanji"": ""雑誌"", ""reading"": ""ざっし""}, {""text"": ""ですか。... ___ です。""}]}, ""choices"": [""本"", ""はい"", ""いいえ""], ""answer"": 0}, {""question"": {""segments"": [{""text"": ""ミンさんですか、ソンさんですか。... ___ です。""}]}, ""choices"": [""ミンさん"", ""はい"", ""いいえ""], ""answer"": 0}, {""question"": {""segments"": [{""text"": ""これ ___ ボールペンですか、シャープペンシルですか。""}]}, ""choices"": [""は"", ""の"", ""を""], ""answer"": 0}]"
2,6,Trợ từ の (Sở hữu),N5,basic,N1 (người) の N2,N2 của N1,Biểu thị danh từ N1 là chủ sở hữu của danh từ N2.,Câu hỏi về quyền sở hữu sử dụng từ để hỏi だれ (ai).,"[{""segments"": [{""kanji"": ""私"", ""reading"": ""わたし""}, {""text"": ""の""}, {""kanji"": ""鍵"", ""reading"": ""かぎ""}], ""vi"": ""Chìa khóa của tôi""}, {""segments"": [{""text"": ""それはだれのスリッパですか。""}], ""vi"": ""Đó là dép của ai?""}]","[{""question"": {""segments"": [{""text"": ""これは わたし ___ ペンです。""}]}, ""choices"": [""の"", ""は"", ""も""], ""answer"": 0}, {""question"": {""segments"": [{""text"": ""そのカメラは ""}, {""kanji"": ""高橋"", ""reading"": ""たかはし""}, {""text"": ""さん ___ です。""}]}, ""choices"": [""の"", ""は"", ""を""], ""answer"": 0}, {""question"": {""segments"": [{""text"": ""あの""}, {""kanji"": ""車"", ""reading"": ""くるま""}, {""text"": ""は ___ のですか。""}]}, ""choices"": [""だれ"", ""なん"", ""どこ""], ""answer"": 0}]"
2,7,Trợ từ の (Nội dung/Lĩnh vực),N5,basic,N1 (loại hình) の N2,N2 về N1 / N2 tiếng N1,"Dùng để chỉ thuộc tính, lĩnh vực, chuyên ngành hoặc ngôn ngữ của đồ vật.",Câu hỏi sử dụng mẫu なんの N2 (N2 về cái gì?).,"[{""segments"": [{""kanji"": ""日本語"", ""reading"": ""にほんご""}, {""text"": ""の""}, {""kanji"": ""本"", ""reading"": ""ほん""}], ""vi"": ""Sách tiếng Nhật""}, {""segments"": [{""text"": ""コンピューターの""}, {""kanji"": ""新聞"", ""reading"": ""しんぶん""}], ""vi"": ""Báo về máy tính.""}]","[{""question"": {""segments"": [{""text"": ""これは ""}, {""kanji"": ""何"", ""reading"": ""なん""}, {""text"": "" ___ ""}, {""kanji"": ""辞書"", ""reading"": ""じしょ""}, {""text"": ""ですか。""}]}, ""choices"": [""の"", ""は"", ""を""], ""answer"": 0}, {""question"": {""segments"": [{""kanji"": ""日本語"", ""reading"": ""にほんご""}, {""text"": "" ___ ""}, {""kanji"": ""本"", ""reading"": ""ほん""}, {""text"": ""。""}]}, ""choices"": [""の"", ""は"", ""も""], ""answer"": 0}, {""question"": {""segments"": [{""kanji"": ""車"", ""reading"": ""くるま""}, {""text"": "" ___ ""}, {""kanji"": ""雑誌"", ""reading"": ""ざっし""}, {""text"": ""。""}]}, ""choices"": [""の"", ""は"", ""も""], ""answer"": 0}]"
3,1,Đại từ chỉ địa điểm,N5,basic,ここ/そこ/あそこ / こちら/そちら/あちら,Chỗ này/đó/kia / Phía này/đó/kia,"Dùng để chỉ vị trí, nơi chốn hoặc phương hướng.",こちら/そちら/あちら là cách nói lịch sự của ここ/そこ/あそこ.,"[{""segments"": [{""text"": ""ここは""}, {""kanji"": ""教室"", ""reading"": ""きょうしつ""}, {""text"": ""です。""}], ""vi"": ""Chỗ này là phòng học.""}, {""segments"": [{""text"": ""あちらは""}, {""kanji"": ""映画館"", ""reading"": ""えいがかん""}, {""text"": ""です。""}], ""vi"": ""Phía kia là rạp chiếu phim.""}]","[{""question"": {""segments"": [{""text"": "" ___ は ""}, {""kanji"": ""事務所"", ""reading"": ""じむしょ""}, {""text"": ""です。""}]}, ""choices"": [""これ"", ""ここ"", ""この""], ""answer"": 1}, {""question"": {""segments"": [{""text"": ""あそこは ABC ___ です。""}]}, ""choices"": [""ぎんこう"", ""がくせい"", ""しゃいん""], ""answer"": 0}, {""question"": {""segments"": [{""text"": ""そちらは ___ ですか。...わたしの""}, {""kanji"": ""大学"", ""reading"": ""だいがく""}, {""text"": ""です。""}]}, ""choices"": [""どこ"", ""だれ"", ""なん""], ""answer"": 0}]"
3,2,Cấu trúc N1 ở N2,N5,basic,N1 は N2 (địa điểm) です。,N1 ở N2,"Dùng để nói về địa điểm tồn tại của người, vật hoặc địa điểm khác.","N1 có thể là danh từ chỉ người, vật hoặc một địa danh cụ thể.","[{""segments"": [{""text"": ""ヤマダさんは""}, {""kanji"": ""事務所"", ""reading"": ""じむしょ""}, {""text"": ""です。""}], ""vi"": ""Anh Yamada ở văn phòng.""}, {""segments"": [{""text"": ""トイレはそこです。""}], ""vi"": ""Nhà vệ sinh ở đó.""}]","[{""question"": {""segments"": [{""kanji"": ""電話"", ""reading"": ""でんわ""}, {""text"": "" ___ ""}, {""kanji"": ""受付"", ""reading"": ""うけつけ""}, {""text"": ""です。""}]}, ""choices"": [""は"", ""に"", ""を""], ""answer"": 0}, {""question"": {""segments"": [{""text"": ""リンさんは ___ です。""}]}, ""choices"": [""あちら"", ""あそこ"", ""Cả hai đều đúng""], ""answer"": 2}, {""question"": {""segments"": [{""kanji"": ""食堂"", ""reading"": ""しょくどう""}, {""text"": ""は 2 ___ です。""}]}, ""choices"": [""さい"", ""かい"", ""ばん""], ""answer"": 1}]"
3,3,Câu hỏi về địa điểm,N5,basic,N1 は どこ／どちらですか。,N1 ở đâu?,"Dùng khi muốn hỏi vị trí của người, vật hoặc địa điểm.",どちら là cách hỏi lịch sự hơn của どこ.,"[{""segments"": [{""kanji"": ""階段"", ""reading"": ""かいだん""}, {""text"": ""はどこですか。""}], ""vi"": ""Cầu thang ở đâu?""}, {""segments"": [{""text"": ""パソコンはどこですか。""}], ""vi"": ""Máy tính ở đâu?""}]","[{""question"": {""segments"": [{""text"": ""エレベーターは ___ ですか。""}]}, ""choices"": [""だれ"", ""どこ"", ""なん""], ""answer"": 1}, {""question"": {""segments"": [{""text"": ""すみません、""}, {""kanji"": ""木村"", ""reading"": ""きむら""}, {""text"": ""さんは ___ ですか。""}]}, ""choices"": [""どちら"", ""だれ"", ""なん""], ""answer"": 0}, {""question"": {""segments"": [{""kanji"": ""郵便局"", ""reading"": ""ゆうびんきょく""}, {""text"": ""は ___ ですか。...あそこです。""}]}, ""choices"": [""どこ"", ""なん"", ""どの""], ""answer"": 0}]"
3,4,"Hỏi tên tổ chức, quốc gia",N5,basic,学校・お国・会社 は どこ／どちらですか。,Trường/Nước/Công ty (của bạn) tên là gì?,"Dùng để hỏi tên quốc gia, công ty, trường học... nơi đối phương sinh sống hoặc làm việc.",Trả lời bằng cách nêu trực tiếp tên của tổ chức hoặc địa danh đó.,"[{""segments"": [{""text"": ""お""}, {""kanji"": ""国"", ""reading"": ""くに""}, {""text"": ""はどちらですか。""}], ""vi"": ""Đất nước của bạn tên là gì?""}, {""segments"": [{""kanji"": ""会社"", ""reading"": ""かいしゃ""}, {""text"": ""はどちらですか。""}], ""vi"": ""Công ty của bạn là công ty nào?""}]","[{""question"": {""segments"": [{""text"": ""ミンさんの""}, {""kanji"": ""大学"", ""reading"": ""だいがく""}, {""text"": ""は ___ ですか。""}]}, ""choices"": [""どこ"", ""なに"", ""だれ""], ""answer"": 0}, {""question"": {""segments"": [{""text"": ""お""}, {""kanji"": ""国"", ""reading"": ""くに""}, {""text"": ""は ___ ですか。...ベトナムです。""}]}, ""choices"": [""どこ"", ""どちら"", ""Cả hai đều đúng""], ""answer"": 2}, {""question"": {""segments"": [{""text"": ""アンさんの ___ は どちらですか。...PANASONICです。""}]}, ""choices"": [""うち"", ""かいしゃ"", ""くに""], ""answer"": 1}]"
3,5,Trợ từ の (Xuất xứ / Lĩnh vực),N5,basic,N1 (quốc gia/công ty) の N2,N2 của N1 (Sản xuất tại/về lĩnh vực),N1 là nơi xuất xứ hoặc công ty sản xuất ra N2. Cũng có thể chỉ lĩnh vực của công ty.,Câu hỏi: どこの N2 (N2 của nước/công ty nào?) hoặc なんの 会社 (Công ty về cái gì?).,"[{""segments"": [{""kanji"": ""日本"", ""reading"": ""にほん""}, {""text"": ""の""}, {""kanji"": ""車"", ""reading"": ""くるま""}], ""vi"": ""Ô tô của Nhật""}, {""segments"": [{""text"": ""SAMSUNGは""}, {""kanji"": ""何"", ""reading"": ""なん""}, {""text"": ""の""}, {""kanji"": ""会社"", ""reading"": ""かいしゃ""}, {""text"": ""ですか。""}], ""vi"": ""Samsung là công ty về cái gì?""}]","[{""question"": {""segments"": [{""text"": ""これは ___ の""}, {""kanji"": ""時計"", ""reading"": ""とけい""}, {""text"": ""ですか。...イギリスの""}, {""kanji"": ""時計"", ""reading"": ""とけい""}, {""text"": ""です。""}]}, ""choices"": [""なん"", ""だれ"", ""どこ""], ""answer"": 2}, {""question"": {""segments"": [{""text"": ""APPLEは ___ の""}, {""kanji"": ""会社"", ""reading"": ""かいしゃ""}, {""text"": ""ですか。...コンピューターの""}, {""kanji"": ""会社"", ""reading"": ""かいしゃ""}, {""text"": ""です。""}]}, ""choices"": [""どこ"", ""なん"", ""だれ""], ""answer"": 1}, {""question"": {""segments"": [{""text"": ""そのかばんは ___ のですか。...イタリアのです。""}]}, ""choices"": [""どこ"", ""なん"", ""だれ""], ""answer"": 0}]"
3,6,Hỏi giá tiền,N5,basic,いくらですか。,Bao nhiêu tiền?,Dùng khi muốn hỏi giá của một món đồ.,Đơn vị tiền tệ trong bài là 円 (Yên) hoặc ドン (Đồng).,"[{""segments"": [{""text"": ""このパソコンはいくらですか。""}], ""vi"": ""Cái máy tính này bao nhiêu tiền?""}]","[{""question"": {""segments"": [{""text"": ""この""}, {""kanji"": ""靴下"", ""reading"": ""くつした""}, {""text"": ""は ___ ですか。""}]}, ""choices"": [""いくら"", ""どこ"", ""だれ""], ""answer"": 0}, {""question"": {""segments"": [{""text"": ""この""}, {""kanji"": ""時計"", ""reading"": ""とけい""}, {""text"": ""は 500 ___ です。""}]}, ""choices"": [""ドン"", ""えん"", ""Cả hai đều đúng""], ""answer"": 2}, {""question"": {""segments"": [{""text"": ""この""}, {""kanji"": ""携帯"", ""reading"": ""けいたい""}, {""text"": ""は ___ ですか。...6""}, {""kanji"": ""万円"", ""reading"": ""まんえん""}, {""text"": ""です。""}]}, ""choices"": [""いくら"", ""なん"", ""どこ""], ""answer"": 0}]"
4,1,Tính từ đuôi い và tính từ đuôi な,N5,basic,Aい ／ Aな,Tính từ đuôi i và tính từ đuôi na,"Dùng để miêu tả tính chất, trạng thái của sự vật hoặc con người.","Tính từ đuôi な thường bỏ ""na"" khi đứng trước ""desu"". Chú ý các từ đặc biệt: きれい, ゆうめい là đuôi な.","[{""segments"": [{""kanji"": ""小"", ""reading"": ""ちい""}, {""text"": ""さい""}], ""vi"": ""nhỏ""}, {""segments"": [{""text"": ""ハンサム[な]""}], ""vi"": ""đẹp trai""}]","[{""question"": {""segments"": [{""text"": ""「きれい」 là tính từ đuôi gì?""}]}, ""choices"": [""い"", ""な"", ""Cả hai""], ""answer"": 1}, {""question"": {""segments"": [{""text"": ""「""}, {""kanji"": ""大"", ""reading"": ""おお""}, {""text"": ""きい」 là tính từ đuôi gì?""}]}, ""choices"": [""い"", ""な"", ""Cả hai""], ""answer"": 0}, {""question"": {""segments"": [{""text"": ""「しんせつ」 là tính từ đuôi gì?""}]}, ""choices"": [""い"", ""な"", ""Cả hai""], ""answer"": 1}]"
4,2,Câu khẳng định với tính từ,N5,basic,N は Aい / A(na) です。,N thì (tính chất)...,Dùng để khẳng định tính chất của chủ ngữ.,Tính từ đuôi な bỏ な khi kết hợp trực tiếp với です.,"[{""segments"": [{""text"": ""チャンさんは""}, {""kanji"": ""面白"", ""reading"": ""おもしろ""}, {""text"": ""いです。""}], ""vi"": ""Bạn Chan thú vị.""}, {""segments"": [{""text"": ""ハノイはにぎやかです。""}], ""vi"": ""Hà Nội náo nhiệt.""}]","[{""question"": {""segments"": [{""text"": ""チャンさんは ""}, {""kanji"": ""面白"", ""reading"": ""おもしろ""}, {""text"": ""い ___ 。""}]}, ""choices"": [""です"", ""ます"", ""します""], ""answer"": 0}, {""question"": {""segments"": [{""text"": ""ハノイは にぎやか ___ 。""}]}, ""choices"": [""です"", ""な"", ""い""], ""answer"": 0}, {""question"": {""segments"": [{""kanji"": ""山田"", ""reading"": ""やまだ""}, {""text"": ""さんは イケメン ___ 。""}]}, ""choices"": [""です"", ""な"", ""い""], ""answer"": 0}]"
4,3,Câu phủ định với tính từ,N5,basic,N は Aいくないです / Aなじゃありません。,N không (tính chất)...,Dùng để phủ định tính chất của chủ ngữ.,Đuôi い: bỏ い thêm くない. Đuôi な: thêm じゃありません. Riêng いい phủ định là よくない.,"[{""segments"": [{""text"": ""ベトナムは""}, {""kanji"": ""寒"", ""reading"": ""さむ""}, {""text"": ""くないです。""}], ""vi"": ""Việt Nam không lạnh.""}, {""segments"": [{""text"": ""ミンさんは""}, {""kanji"": ""元気"", ""reading"": ""げんき""}, {""text"": ""じゃありません。""}], ""vi"": ""Anh Minh không khỏe.""}]","[{""question"": {""segments"": [{""text"": ""このすしは おいしく ___ です。""}]}, ""choices"": [""ない"", ""ありません"", ""くな""], ""answer"": 0}, {""question"": {""segments"": [{""text"": ""ハイズオンは にぎやか ___ 。""}]}, ""choices"": [""ではない"", ""じゃありません"", ""くない""], ""answer"": 1}, {""question"": {""segments"": [{""kanji"": ""今日"", ""reading"": ""きょう""}, {""text"": ""は ""}, {""kanji"": ""天気"", ""reading"": ""てんき""}, {""text"": ""が ___ です。""}]}, ""choices"": [""いいくない"", ""よくない"", ""いくない""], ""answer"": 1}]"
4,4,Phó từ mức độ とても và あまり,N5,basic,とても + Khẳng định / あまり + Phủ định,Rất... / Không... lắm,Dùng để biểu thị mức độ của tính chất.,とても dùng trong câu khẳng định. あまり bắt buộc đi với câu phủ định.,"[{""segments"": [{""kanji"": ""彼女"", ""reading"": ""かのじょ""}, {""text"": ""はとてもかわいいです。""}], ""vi"": ""Cô ấy rất đáng yêu.""}, {""segments"": [{""text"": ""このすしはあまりおいしくないです。""}], ""vi"": ""Món sushi này không ngon lắm.""}]","[{""question"": {""segments"": [{""text"": ""この""}, {""kanji"": ""車"", ""reading"": ""くるま""}, {""text"": ""は ___ ""}, {""kanji"": ""高"", ""reading"": ""たか""}, {""text"": ""いですね。""}]}, ""choices"": [""あまり"", ""とても"", ""全然""], ""answer"": 1}, {""question"": {""segments"": [{""text"": ""ハノイは ___ ""}, {""kanji"": ""寒"", ""reading"": ""さむ""}, {""text"": ""くないです。""}]}, ""choices"": [""とても"", ""あまり"", ""すこし""], ""answer"": 1}, {""question"": {""segments"": [{""kanji"": ""彼女"", ""reading"": ""かのじょ""}, {""text"": ""は ___ きれいですね。""}]}, ""choices"": [""とても"", ""あまり"", ""ない""], ""answer"": 0}]"
