title,lessonId,jlpt,turns
Giới thiệu lớp học,3,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""こんにちは。""}], ""vi"": ""Chào bạn.""}, {""speaker"": ""B"", ""segments"": [{""text"": ""こんにちは、しまかわ です。""}], ""vi"": ""Chào bạn, tôi là Shimakawa.""}, {""speaker"": ""A"", ""segments"": [{""text"": ""むらかみ です。""}], ""vi"": ""Tôi là Murakami.""}, {""speaker"": ""B"", ""segments"": [{""text"": ""よろしく おねがいします。""}], ""vi"": ""Rất mong được sự giúp đỡ.""}, {""speaker"": ""A"", ""segments"": [{""text"": ""はい、よろしく おねがいします。""}], ""vi"": ""Vâng, rất mong được sự giúp đỡ.""}, {""speaker"": ""B"", ""segments"": [{""text"": ""こちらは じむしょです。きょうしつは にかい、さんがい、よんかいです。""}], ""vi"": ""Đây là văn phòng. Phòng học ở tầng 2, tầng 3 và tầng 4.""}]"
Đánh giá cà phê,4,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""ベトナムのコーヒーは おいしいですか。""}], ""vi"": ""Cà phê Việt Nam có ngon không?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""はい、おいしいです。""}], ""vi"": ""Vâng, ngon lắm.""}, {""speaker"": ""A"", ""segments"": [{""text"": ""ズンモリは ""}, {""kanji"": ""有"", ""reading"": ""ゆう""}, {""kanji"": ""名"", ""reading"": ""めい""}, {""text"": ""ですか？""}], ""vi"": ""NihongoCoach có nổi tiếng không?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""はい、""}, {""kanji"": ""有"", ""reading"": ""ゆう""}, {""kanji"": ""名"", ""reading"": ""めい""}, {""text"": ""です。""}], ""vi"": ""Vâng, nổi tiếng.""}]"
Hỏi tính chất đồ vật,4,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""その""}, {""kanji"": ""時"", ""reading"": ""と""}, {""kanji"": ""計"", ""reading"": ""けい""}, {""text"": ""は ""}, {""kanji"": ""安"", ""reading"": ""やす""}, {""text"": ""いですか。""}], ""vi"": ""Cái đồng hồ đó có rẻ không?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""はい、""}, {""kanji"": ""安"", ""reading"": ""やす""}, {""text"": ""いです。""}], ""vi"": ""Vâng, rẻ.""}, {""speaker"": ""A"", ""segments"": [{""kanji"": ""恋"", ""reading"": ""こい""}, {""kanji"": ""人"", ""reading"": ""びと""}, {""text"": ""は ハンサムですか。""}], ""vi"": ""Người yêu bạn có đẹp trai không?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""はい、とてもハンサムです。""}], ""vi"": ""Vâng, rất đẹp trai.""}]"
Mô tả người yêu,4,N5,"[{""speaker"": ""A"", ""segments"": [{""kanji"": ""恋"", ""reading"": ""こい""}, {""kanji"": ""人"", ""reading"": ""びと""}, {""text"": ""は どんな""}, {""kanji"": ""人"", ""reading"": ""ひと""}, {""text"": ""ですか？""}], ""vi"": ""Người yêu bạn là người như thế nào?""}, {""speaker"": ""B"", ""segments"": [{""kanji"": ""優"", ""reading"": ""やさ""}, {""text"": ""しい""}, {""kanji"": ""人"", ""reading"": ""ひと""}, {""text"": ""です。""}], ""vi"": ""Là một người hiền lành.""}, {""speaker"": ""A"", ""segments"": [{""text"": ""ハノイは どんな""}, {""kanji"": ""町"", ""reading"": ""まち""}, {""text"": ""ですか。""}], ""vi"": ""Hà Nội là thành phố như thế nào?""}, {""speaker"": ""B"", ""segments"": [{""kanji"": ""有"", ""reading"": ""ゆう""}, {""kanji"": ""名"", ""reading"": ""めい""}, {""text"": ""な""}, {""kanji"": ""町"", ""reading"": ""まち""}, {""text"": ""です。""}], ""vi"": ""Là một thành phố nổi tiếng.""}]"
Giờ thức dậy,5,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""きょう ""}, {""kanji"": ""何"", ""reading"": ""なん""}, {""kanji"": ""時"", ""reading"": ""じ""}, {""text"": ""に おきましたか。""}], ""vi"": ""Hôm nay bạn đã dậy lúc mấy giờ?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""6""}, {""kanji"": ""時"", ""reading"": ""じ""}, {""text"": ""に おきました。""}], ""vi"": ""Tôi đã dậy lúc 6 giờ.""}, {""speaker"": ""A"", ""segments"": [{""text"": ""きょう べんきょうしますか。""}], ""vi"": ""Hôm nay bạn có học không?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""きょうは どようびです。べんきょうしません。""}], ""vi"": ""Hôm nay là thứ bảy. Tôi không học.""}]"
Giờ mở cửa ngân hàng,5,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""ぎんこうは なんじまで ですか。""}], ""vi"": ""Ngân hàng mở cửa đến mấy giờ?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""ベトナムのぎんこうは ごぜん8""}, {""kanji"": ""時"", ""reading"": ""じ""}, {""text"": ""から ごご4""}, {""kanji"": ""時"", ""reading"": ""じ""}, {""text"": ""まで です。""}], ""vi"": ""Ngân hàng ở Việt Nam mở cửa từ 8 giờ sáng đến 4 giờ chiều.""}, {""speaker"": ""A"", ""segments"": [{""text"": ""いま なんじですか。""}], ""vi"": ""Bây giờ là mấy giờ?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""いま 3じはんです。""}], ""vi"": ""Bây giờ là 3 giờ rưỡi.""}, {""speaker"": ""A"", ""segments"": [{""text"": ""あっ、もう じかんがないね。""}], ""vi"": ""Ôi, không còn thời gian nữa rồi nhỉ.""}]"
Kế hoạch học tập,5,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""あしたから ベトナム""}, {""kanji"": ""語"", ""reading"": ""ご""}, {""text"": ""（を） べんきょうします。""}], ""vi"": ""Từ ngày mai tôi sẽ học tiếng Việt.""}, {""speaker"": ""B"", ""segments"": [{""text"": ""まいにちですか。""}], ""vi"": ""Học hàng ngày à?""}, {""speaker"": ""A"", ""segments"": [{""text"": ""いいえ、げつようび、すいようび、きんようびのよる です。""}], ""vi"": ""Không, vào tối thứ hai, thứ tư và thứ sáu.""}]"
Hỏi số điện thoại,5,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""すみません、としょかんの でんわばんごう（は）わかりますか。""}], ""vi"": ""Xin lỗi, bạn có biết số điện thoại của thư viện không?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""としょかんですか。としょかんの でんわばんごうは 0123456789です。""}], ""vi"": ""Thư viện hả? Số điện thoại của thư viện là 0123456789.""}, {""speaker"": ""A"", ""segments"": [{""text"": ""はい、ありがとうございます。""}], ""vi"": ""Vâng, xin cảm ơn.""}, {""speaker"": ""B"", ""segments"": [{""text"": ""はい、どういたしまして。""}], ""vi"": ""Vâng, không có gì.""}]"
Hỏi việc về nước,6,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""ゆかせんせい、ことしは にほんへ かえりますか。""}], ""vi"": ""Cô Yuka ơi, năm nay cô có về Nhật không?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""いいえ、ことしは かえりません。""}], ""vi"": ""Không, năm nay tôi không về.""}, {""speaker"": ""A"", ""segments"": [{""text"": ""そうですか、ぼくは らいげつ かえります。""}], ""vi"": ""Thế ạ, tháng sau em sẽ về.""}, {""speaker"": ""B"", ""segments"": [{""text"": ""ひとりで かえりますか。""}], ""vi"": ""Em về một mình à?""}, {""speaker"": ""A"", ""segments"": [{""text"": ""いいえ、ベトナムじんの ともだちと かえります。""}], ""vi"": ""Không, em về cùng một người bạn Việt Nam.""}]"
Hỏi điểm đến,6,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""あ、ゆかせんせい. どこへ いきますか。""}], ""vi"": ""A, cô Yuka. Cô đi đâu thế ạ?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""わたしは スーパーへ いきます。""}], ""vi"": ""Tôi đi siêu thị.""}, {""speaker"": ""A"", ""segments"": [{""text"": ""ぼくは がっこうへ いきます。""}], ""vi"": ""Em đi đến trường.""}, {""speaker"": ""B"", ""segments"": [{""text"": ""そうですか。""}], ""vi"": ""Thế ạ.""}, {""speaker"": ""A"", ""segments"": [{""text"": ""じゃ、また。""}], ""vi"": ""Chào cô nhé.""}, {""speaker"": ""B"", ""segments"": [{""text"": ""じゃ、また。""}], ""vi"": ""Chào em.""}]"
Về quê cuối tuần,6,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""しゅうまつ、じっかへ かえりますか。""}], ""vi"": ""Cuối tuần bạn có về quê không?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""はい、バイクで かえります。""}], ""vi"": ""Có, mình về bằng xe máy.""}, {""speaker"": ""A"", ""segments"": [{""text"": ""ひとりで かえりますか。""}], ""vi"": ""Bạn đi một mình à?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""はい、ひとりで かえります。""}], ""vi"": ""Ừ, mình đi một mình.""}, {""speaker"": ""A"", ""segments"": [{""text"": ""わたしは かえりません。""}], ""vi"": ""Còn mình thì không về.""}]"
Ngày sinh nhật,6,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""たんじょうびは いつですか。""}], ""vi"": ""Sinh nhật của bạn là khi nào?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""わたしは 3""}, {""kanji"": ""月"", ""reading"": ""がつ""}, {""text"": ""30""}, {""kanji"": ""日"", ""reading"": ""にち""}, {""text"": ""です。""}], ""vi"": ""Của mình là ngày 30 tháng 3.""}, {""speaker"": ""A"", ""segments"": [{""text"": ""わたしは 10""}, {""kanji"": ""月"", ""reading"": ""がつ""}, {""text"": ""31""}, {""kanji"": ""日"", ""reading"": ""にち""}, {""text"": ""です。""}], ""vi"": ""Của mình là ngày 31 tháng 10.""}, {""speaker"": ""B"", ""segments"": [{""text"": ""そうですか。ズンせんせいの たんじょうびも 10""}, {""kanji"": ""月"", ""reading"": ""がつ""}, {""text"": ""ですよ。""}], ""vi"": ""Thế à. Sinh nhật thầy Hải cũng vào tháng 10 đấy.""}, {""speaker"": ""A"", ""segments"": [{""text"": ""え!そうですか。""}], ""vi"": ""Ế! Thế ạ?""}]"
Hẹn tại nhà hàng,6,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""いま レストランです。いつ きますか。""}], ""vi"": ""Bây giờ tớ đang ở nhà hàng. Khi nào cậu đến?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""これから いきます。2じに いきます。""}], ""vi"": ""Giờ tớ đi đây. 2 giờ tớ đến.""}, {""speaker"": ""A"", ""segments"": [{""text"": ""もう つきましたか。""}], ""vi"": ""Cậu đã đến chưa?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""いま つきました。""}], ""vi"": ""Tớ vừa đến rồi.""}]"
Kế hoạch ngày nghỉ,6,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""あしたは にちようびですね。どこか いきますか。""}], ""vi"": ""Mai là chủ nhật nhỉ. Cậu có đi đâu không?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""どこも いきません。""}], ""vi"": ""Tớ không đi đâu cả.""}, {""speaker"": ""A"", ""segments"": [{""text"": ""わたしは としょかんへ いきます。""}], ""vi"": ""Tớ thì đi thư viện.""}]"
Bữa sáng,7,N5,"[{""speaker"": ""A"", ""segments"": [{""kanji"": ""今朝"", ""reading"": ""けさ""}, {""text"": ""、""}, {""kanji"": ""何"", ""reading"": ""なに""}, {""text"": ""を ""}, {""kanji"": ""食"", ""reading"": ""た""}, {""text"": ""べましたか？""}], ""vi"": ""Sáng nay bạn đã ăn gì?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""うちで パンを ""}, {""kanji"": ""食"", ""reading"": ""た""}, {""text"": ""べました。""}], ""vi"": ""Tôi đã ăn bánh mì ở nhà.""}]"
Rủ đi ăn trưa,7,N5,"[{""speaker"": ""A"", ""segments"": [{""kanji"": ""一緒"", ""reading"": ""いっしょ""}, {""text"": ""に""}, {""kanji"": ""昼"", ""reading"": ""ひる""}, {""text"": ""ごはんを ""}, {""kanji"": ""食"", ""reading"": ""た""}, {""text"": ""べませんか。""}], ""vi"": ""Bạn cùng đi ăn trưa với mình không?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""ええ、いいですね。""}], ""vi"": ""Vâng, hay quá nhỉ.""}]"
Rủ làm bài tập,7,N5,"[{""speaker"": ""A"", ""segments"": [{""kanji"": ""一緒"", ""reading"": ""いっしょ""}, {""text"": ""に""}, {""kanji"": ""宿題"", ""reading"": ""しゅくだい""}, {""text"": ""を しませんか。""}], ""vi"": ""Cùng làm bài tập với mình không?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""ええ、しましょう。""}], ""vi"": ""Vâng, cùng làm thôi.""}]"
Cách thức xem phim,8,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""なにで ""}, {""kanji"": ""映"", ""reading"": ""えい""}, {""kanji"": ""画"", ""reading"": ""が""}, {""text"": ""を ""}, {""kanji"": ""見"", ""reading"": ""み""}, {""text"": ""ますか？""}], ""vi"": ""Bạn xem phim bằng gì?""}]"
Ngôn ngữ giao tiếp,8,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""ベトナム""}, {""kanji"": ""人"", ""reading"": ""じん""}, {""text"": ""の""}, {""kanji"": ""友"", ""reading"": ""とも""}, {""kanji"": ""達"", ""reading"": ""だち""}, {""text"": ""と ""}, {""kanji"": ""日"", ""reading"": ""に""}, {""kanji"": ""本"", ""reading"": ""ほん""}, {""kanji"": ""語"", ""reading"": ""ご""}, {""text"": ""で ""}, {""kanji"": ""話"", ""reading"": ""はな""}, {""text"": ""しますか？""}], ""vi"": ""Bạn có nói chuyện với người bạn Việt Nam bằng tiếng Nhật không?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""はい、""}, {""kanji"": ""日"", ""reading"": ""に""}, {""kanji"": ""本"", ""reading"": ""ほん""}, {""kanji"": ""語"", ""reading"": ""ご""}, {""text"": ""で ""}, {""kanji"": ""話"", ""reading"": ""はな""}, {""text"": ""します。""}], ""vi"": ""Vâng, tôi nói bằng tiếng Nhật.""}]"
Ngôn ngữ báo cáo,8,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""なにで レポートを ""}, {""kanji"": ""書"", ""reading"": ""か""}, {""text"": ""きますか？""}], ""vi"": ""Bạn viết báo cáo bằng tiếng gì?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""はい、ベトナム""}, {""kanji"": ""語"", ""reading"": ""ご""}, {""text"": ""で ""}, {""kanji"": ""書"", ""reading"": ""か""}, {""text"": ""きます。""}], ""vi"": ""Vâng, tôi viết bằng tiếng Việt.""}]"
Sở thích món Nhật,9,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""日本 ""}, {""kanji"": ""料理"", ""reading"": ""りょうり""}, {""text"": "" が ""}, {""kanji"": ""好"", ""reading"": ""す""}, {""text"": ""きですか？""}], ""vi"": ""Bạn có thích món ăn Nhật Bản không?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""はい、""}, {""kanji"": ""好"", ""reading"": ""す""}, {""text"": ""きです。""}], ""vi"": ""Vâng, tôi thích.""}]"
Sở thích đồ uống,9,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""どんな ""}, {""kanji"": ""飲"", ""reading"": ""の""}, {""text"": ""み""}, {""kanji"": ""物"", ""reading"": ""もの""}, {""text"": "" が ""}, {""kanji"": ""好"", ""reading"": ""す""}, {""text"": ""きですか？""}], ""vi"": ""Bạn thích loại đồ uống nào?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""ビール が ""}, {""kanji"": ""好"", ""reading"": ""す""}, {""text"": ""きです。""}], ""vi"": ""Tôi thích bia.""}]"
Khả năng chữ Hán,9,N5,"[{""speaker"": ""A"", ""segments"": [{""kanji"": ""漢字"", ""reading"": ""かんじ""}, {""text"": "" が わかりますか？""}], ""vi"": ""Bạn có hiểu chữ Hán không?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""はい、だいたいわかります。""}], ""vi"": ""Vâng, tôi hiểu đại khái.""}]"
Lý do học tiếng Nhật,9,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""どうして ""}, {""kanji"": ""日本語"", ""reading"": ""にほんご""}, {""text"": "" を ""}, {""kanji"": ""勉強"", ""reading"": ""べんきょう""}, {""text"": ""しますか？""}], ""vi"": ""Tại sao bạn học tiếng Nhật?""}, {""speaker"": ""B"", ""segments"": [{""kanji"": ""日本"", ""reading"": ""にほん""}, {""text"": "" が ""}, {""kanji"": ""好"", ""reading"": ""す""}, {""text"": ""きですから。""}], ""vi"": ""Vì tôi thích Nhật Bản.""}]"
Người trong lớp,10,N5,"[{""speaker"": ""A"", ""segments"": [{""kanji"": ""教"", ""reading"": ""きょう""}, {""kanji"": ""室"", ""reading"": ""しつ""}, {""text"": ""に だれが いますか？""}], ""vi"": ""Trong lớp học có ai vậy?""}, {""speaker"": ""B"", ""segments"": [{""kanji"": ""教"", ""reading"": ""きょう""}, {""kanji"": ""室"", ""reading"": ""しつ""}, {""text"": ""に ""}, {""kanji"": ""先"", ""reading"": ""せん""}, {""kanji"": ""生"", ""reading"": ""せい""}, {""text"": ""が います。""}], ""vi"": ""Trong lớp học có giáo viên.""}]"
Động vật trong sở thú,10,N5,"[{""speaker"": ""A"", ""segments"": [{""kanji"": ""動"", ""reading"": ""どう""}, {""kanji"": ""物"", ""reading"": ""ぶつ""}, {""kanji"": ""園"", ""reading"": ""えん""}, {""text"": ""に ""}, {""kanji"": ""何"", ""reading"": ""なに""}, {""text"": ""が いますか？""}], ""vi"": ""Trong sở thú có gì thế?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""ライオンや パンダ が います。""}], ""vi"": ""Có những con như là sư tử và gấu trúc.""}]"
Người ngoài văn phòng,10,N5,"[{""speaker"": ""A"", ""segments"": [{""kanji"": ""事"", ""reading"": ""じ""}, {""kanji"": ""務"", ""reading"": ""む""}, {""kanji"": ""所"", ""reading"": ""しょ""}, {""text"": ""の ""}, {""kanji"": ""外"", ""reading"": ""そと""}, {""text"": ""に ""}, {""kanji"": ""誰"", ""reading"": ""だれ""}, {""text"": ""が いますか？""}], ""vi"": ""Ai đang ở bên ngoài văn phòng vậy?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""ミンさんが います。""}], ""vi"": ""Có anh Minh ở đó.""}]"
Tần suất chơi game,11,N5,"[{""speaker"": ""A"", ""segments"": [{""kanji"": ""一"", ""reading"": ""いち""}, {""kanji"": ""日"", ""reading"": ""にち""}, {""text"": ""に ""}, {""kanji"": ""何"", ""reading"": ""なん""}, {""kanji"": ""回"", ""reading"": ""かい""}, {""text"": "" ゲームを しますか。""}], ""vi"": ""Một ngày bạn chơi game mấy lần?""}, {""speaker"": ""B"", ""segments"": [{""kanji"": ""一"", ""reading"": ""いち""}, {""kanji"": ""日"", ""reading"": ""にch""}, {""text"": ""に 2""}, {""kanji"": ""回"", ""reading"": ""かい""}, {""text"": "" ゲームを します。""}], ""vi"": ""Một ngày tôi chơi game 2 lần.""}]"
Thời gian ở Nhật,11,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""どのくらい ""}, {""kanji"": ""日"", ""reading"": ""に""}, {""kanji"": ""本"", ""reading"": ""ほん""}, {""text"": ""へ ""}, {""kanji"": ""行"", ""reading"": ""い""}, {""text"": ""きますか。""}], ""vi"": ""Bạn đi Nhật trong bao lâu?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""3""}, {""kanji"": ""年"", ""reading"": ""ねん""}, {""text"": ""くらい ""}, {""kanji"": ""行"", ""reading"": ""い""}, {""text"": ""きます。""}], ""vi"": ""Tôi đi khoảng 3 năm.""}]"
Đánh giá kỳ thi,12,N5,"[{""speaker"": ""A"", ""segments"": [{""kanji"": ""試験"", ""reading"": ""しけん""}, {""text"": "" は ""}, {""kanji"": ""難"", ""reading"": ""むずか""}, {""text"": ""しかったですか？""}], ""vi"": ""Kỳ thi đã khó phải không?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""はい、めっちゃ ""}, {""kanji"": ""難"", ""reading"": ""むずか""}, {""text"": ""かったです。""}], ""vi"": ""Vâng, đã cực kỳ khó.""}]"
So sánh tốc độ,12,N5,"[{""speaker"": ""A"", ""segments"": [{""kanji"": ""飛行機"", ""reading"": ""ひこうき""}, {""text"": "" は バイクより ""}, {""kanji"": ""速"", ""reading"": ""はや""}, {""text"": ""いですか？""}], ""vi"": ""Máy bay nhanh hơn xe máy phải không?""}, {""speaker"": ""B"", ""segments"": [{""kanji"": ""飛行機"", ""reading"": ""ひこうき""}, {""text"": "" は バイクよりずっと ""}, {""kanji"": ""速"", ""reading"": ""はや""}, {""text"": ""いです。""}], ""vi"": ""Máy bay nhanh hơn hẳn xe máy.""}]"
So sánh độ khó,12,N5,"[{""speaker"": ""A"", ""segments"": [{""kanji"": ""日本語"", ""reading"": ""にほんご""}, {""text"": "" と ""}, {""kanji"": ""英語"", ""reading"": ""えいご""}, {""text"": "" と どちらが ""}, {""kanji"": ""難"", ""reading"": ""むずか""}, {""text"": ""しいですか？""}], ""vi"": ""Tiếng Nhật và tiếng Anh cái nào khó hơn?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""どちらも ""}, {""kanji"": ""難"", ""reading"": ""むずか""}, {""text"": ""しいです。""}], ""vi"": ""Cả hai đều khó.""}]"
Mong muốn cá nhân,13,N5,"[{""speaker"": ""A"", ""segments"": [{""kanji"": ""お金"", ""reading"": ""かね""}, {""text"": "" が ほしいですか？""}], ""vi"": ""Bạn có muốn tiền không?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""はい、いっぱいほしいです。""}], ""vi"": ""Vâng, tôi muốn có rất nhiều.""}]"
Hành động muốn làm,13,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""いま、""}, {""kanji"": ""何"", ""reading"": ""なに""}, {""text"": "" が したいですか？""}], ""vi"": ""Bây giờ bạn muốn làm gì?""}, {""speaker"": ""B"", ""segments"": [{""kanji"": ""ご飯"", ""reading"": ""ごはん""}, {""text"": "" を ""}, {""kanji"": ""食"", ""reading"": ""た""}, {""text"": ""べたいです。""}], ""vi"": ""Tôi muốn ăn cơm.""}]"
Địa điểm vui chơi,13,N5,"[{""speaker"": ""A"", ""segments"": [{""text"": ""どこへ ""}, {""kanji"": ""遊"", ""reading"": ""あそ""}, {""text"": ""びに ""}, {""kanji"": ""行"", ""reading"": ""い""}, {""text"": ""きますか？""}], ""vi"": ""Bạn đi đâu chơi vậy?""}, {""speaker"": ""B"", ""segments"": [{""text"": ""ダナンへ ""}, {""kanji"": ""行"", ""reading"": ""い""}, {""text"": ""きたいです。""}], ""vi"": ""Tôi muốn đi Đà Nẵng.""}]"
