RadicalID,Character,SinoVietnamese,Meaning,StrokeCount
RAD-90,爿,Tường,Tấm ván. Hình nửa bên trái của chữ mộc.,4
RAD-91,片,Phiến,Mảnh vật mỏng và phẳng. Hình nửa bên phải của chữ mộc.,4
RAD-92,牙,Nha,Răng. Hình răng hai hàm cắn vào nhau.,4
RAD-93,牛,Ngưu,Con bò. Cách viết khác: 牜.,4
RAD-94,犬,Khuyển,Con chó. Cách viết khác: 犭.,4
RAD-95,玄,Huyền,Sâu kín xa xôi. Màu đen có lằn sắc đỏ.,5
RAD-96,玉,Ngọc,Đá quý (hình viên ngọc xâu chuỗi).,5
RAD-97,瓜,Qua,"Dưa, hình dây dưa bò lan trên đất và có quả.",5
RAD-98,瓦,Ngõa,"Ngói, Gạch nung. Đồ vật liệu bằng đất nung.",5
RAD-99,甘,Cam,Ngọt. Vật ngon ngọt ngậm trong miệng.,5
RAD-100,生,Sinh,"Sống, mọc, sinh ra. Hình cỏ cây mọc trên đất.",5
RAD-101,用,Dụng,"Dùng, có thể thi hành.",5
RAD-102,田,Điền,Ruộng (hình thửa ruộng chia bờ xung quanh).,5
RAD-103,疋,Sơ,Cái chân. Hình bắp chân.,5
RAD-104,疒,Nạch,Tật bệnh (Người bệnh phải nằm trên giường).,5
RAD-105,癶,Bát,Đạp ra (Bát đạp).,5
RAD-106,白,Bạch,"Trắng, màu của phương Tây.",5
RAD-107,皮,Bì,Da (Tay cầm dao lột da từ thây con vật).,5
RAD-108,皿,Mãnh,Đồ bát đĩa để ăn cơm.,5
RAD-109,目,Mục,Mắt (Hình con mắt).,5
RAD-110,矛,Mâu,Cái mâu là một thứ binh khí ngày xưa.,5
RAD-111,矢,Thỉ,"Mũi tên, mũi nhọn có ngạnh.",5
RAD-112,石,Thạch,Đá (Sườn núi 厂 và hòn đá 口).,5
RAD-113,示,Kỳ,"Thần đất, báo cho biết trước mọi điều.",5
RAD-114,禸,Nhữu,Vết chân thú dẫm xuống đất.,5
RAD-115,禾,Hòa,Cây lúa.,5
RAD-116,穴,Huyệt,Cái hang.,5
RAD-117,立,Lập,Đứng. Hình người đứng trên mặt đất.,5
RAD-118,竹,Trúc,Cây tre.,6
RAD-119,米,Mễ,Gạo (hạt lúa đã được chế biến).,6
RAD-120,糸,Mịch,Sợi tơ. (Hình lọn tơ được thắt lại).,6
RAD-121,缶,Phữu,"Đồ sành như: vò, chum, vại, be có nắp đậy.",6
RAD-122,网,Võng,Lưới để bắt thú hay đánh cá.,6
RAD-123,羊,Dương,Con dê.,6
RAD-124,羽,Vũ,Lông chim (hai cánh chim có lông vũ).,6
RAD-125,老,Lão,Già. Người cao tuổi râu tóc đã biến đổi.,6
RAD-126,而,Nhi,Râu.,6
RAD-127,耒,Lỗi,Cái cày.,6
RAD-128,耳,Nhĩ,Tai để nghe.,6
RAD-129,聿,Duật,Cây bút. Hình tay cầm cây bút viết.,6
RAD-130,肉,Nhục,Thịt. Cách viết khác: 月.,6
RAD-131,臣,Thần,Bề tôi (Hình ông quan cúi mình khuất phục).,6
RAD-132,自,Tự,Cái mũi. Còn có nghĩa là: Tự mình.,6
RAD-133,至,Chí,"Đến (Hình chim bay xuống đất), chí hướng.",6
RAD-134,臼,Cữu,Cái cối giã gạo.,6
RAD-135,舌,Thiệt,Cái lưỡi.,6
RAD-136,舛,Suyễn,"Trái nhau, nằm đối nhau, ngược lại.",6
RAD-137,舟,Chu,Thuyền.,6
RAD-138,艮,Cấn,"Không nghe theo, ngăn trở. Quẻ Cấn.",6
RAD-139,色,Sắc,Sắc mặt. diện mạo.,6
RAD-140,艸,Thảo,Cỏ. cách viết khác: 艹.,6
RAD-141,虍,Hô,Vằn lông con cọp.,6
RAD-142,虫,Trùng,"Côn trùng, rắn rết.",6
RAD-143,血,Huyết,Máu (Máu đựng trong bát để tế thần).,6
RAD-144,行,Hành,Đi (hai chân lần lượt bước tới).,6
RAD-145,衣,Y,Áo.,6
RAD-146,襾,Á,"Che đậy, cái nắp.",6
RAD-147,見,Kiến,"Thấy, xem, nhìn.",7
RAD-148,角,Giác,Cái sừng.,7
RAD-149,言,Ngôn,Nói (thoại).,7
RAD-150,谷,Cốc,Khe suối chảy thông ra sông.,7
RAD-151,豆,Đậu,Cái bát có nắp đậy (như hình hạt đậu).,7
RAD-152,豕,Thỉ,Con Heo (Lợn).,7
RAD-153,豸,Trĩ,"Loài thú có xương sống, lưng dài.",7
RAD-154,貝,Bối,"Con Sò. Tượng trưng cho của quý, tiền tệ.",7
RAD-155,赤,Xích,"Màu đỏ, màu của phương nam.",7
RAD-156,走,Tẩu,Chạy.,7
RAD-157,足,Túc,Chân.,7
RAD-158,身,Thân,Thân mình.,7
RAD-159,車,Xa,Cái xe.,7
RAD-160,辛,Tân,"Vị cay, cay đắng, nhọc nhằn, lo toan.",7
RAD-161,辰,Thần,"Thì giờ, sấm sét, chuyển giao mùa (tháng ba).",7
RAD-162,辵,Sước,"Chợt đi chợt đứng, cách viết khác: 辶.",7
RAD-163,邑,Ấp,"Nước nhỏ, làng, thôn, lãnh thổ.",7
RAD-164,酉,Dậu,Rượu (Phương tây trong bát quái).,7
RAD-165,釆,Biện,"Phân biệt. (Biện luận, phản biện).",7
RAD-166,里,Lí,"Làng, Quả cây trồng (Điền 田 và thổ 土).",7
RAD-167,金,Kim,"Vàng, loài kim, kim loại nói chung.",8
RAD-168,長,Trường,"Dài, lâu.",8
RAD-169,門,Môn,Cửa (hai cánh).,8
RAD-170,阜,Phụ,Núi đất không có đá. Cách viết khác: 阝.,8
RAD-171,隶,Đãi,Kịp (chạy cho nhanh theo kịp người trước).,8
RAD-172,隹,Chuy,Giống chim đuôi ngắn.,8
RAD-173,雨,Vũ,Mưa.,8
RAD-174,青,Thanh,Xanh. Màu của phương đông.,8
RAD-175,非,Phi,"Không phải, trái, trái ngược.",8
RAD-176,面,Diện,Mặt.,9
RAD-177,革,Cách,Da thú thuộc bỏ sạch lông.,9
RAD-178,韋,Vi,"Da thuộc, trái ngược nhau.",9
RAD-179,韭,Cửu,Cây Hẹ.,9
RAD-180,音,Âm,"Tiếng, âm thanh phát ra tai nghe được.",9
RAD-181,頁,Hiệt,Cái đầu.,9
RAD-182,風,Phong,Gió.,9
RAD-183,飛,Phi,Bay.,9
RAD-184,食,Thực,Ăn.,9
RAD-185,首,Thủ,Đầu.,9
RAD-186,香,Hương,Mùi thơm.,9
RAD-187,馬,Mã,Con ngựa.,10
RAD-188,骨,Cốt,Xương.,10
RAD-189,高,Cao,Trái lại với thấp là cao.,10
RAD-190,髟,Tiêu,Tóc dài (Trường 長 và sam 彡).,10
RAD-191,鬥,Đấu,"Đánh nhau, chiến đấu.",10
RAD-192,鬯,Sướng,Loại rượu lễ để cầu thần.,10
RAD-193,鬲,Lịch,Cái đỉnh hương. Ngăn cách âm dương.,10
RAD-194,鬼,Quỷ,Ma quỷ.,10
RAD-195,魚,Ngư,Cá.,11
RAD-196,鳥,Điểu,Chim.,11
RAD-197,鹵,Lỗ,"Đất mặn, muối trong đất.",11
RAD-198,鹿,Lộc,Con Nai.,11
RAD-199,麥,Mạch,Lúa Mạch.,11
RAD-200,麻,Ma,Cây Gai.,11
RAD-201,黃,Hoàng,Màu vàng.,12
RAD-202,黍,Thứ,Lúa nếp.,12
RAD-203,黑,Hắc,Màu đen.,12
RAD-204,黹,Chí,Thêu may (Phất).,12
RAD-205,黽,Mãnh,Con Ếch.,13
RAD-206,鼎,Đỉnh,Cái vạc.,13
RAD-207,鼓,Cổ,Cái trống.,13
RAD-208,鼠,Thử,Con Chuột.,13
RAD-209,鼻,Tỵ,Cái mũi.,14
RAD-210,齊,Tề,"Lúa trổ đều bông, chỉnh tề.",14
RAD-211,齒,Xỉ,Răng. Lẻ loi.,15
RAD-212,龍,Long,Con Rồng.,16
RAD-213,龜,Quy,Con Rùa.,16
RAD-214,龠,Dược,Nhạc khí như ống sáo có lỗ.,17
