lesson,word,reading,meaning_vi,meaning_en,type,jlpt
4,寂しい,さびしい,cô đơn,lonely,I-adjective,N5
4,花,はな,hoa,flower,Noun,N5
4,桜,さくら,hoa anh đào,cherry blossom,Noun,N5
4,山,やま,núi,mountain,Noun,N5
4,富士山,ふじさん,núi Phú Sĩ,Mount Fuji,Proper noun,N5
4,町,まち,"thị trấn, thành phố","town, city",Noun,N5
4,食べ物,たべもの,đồ ăn,food,Noun,N5
4,着物,きもの,kimono,kimono,Noun,N5
4,機械,きかい,máy móc,machine,Noun,N5
4,所,ところ,"nơi, chỗ",place,Noun,N5
4,勉強,べんきょう,"học, việc học",study,Noun,N5
4,生活,せいかつ,"cuộc sống, sinh hoạt","life, living",Noun,N5
4,物価,ぶっか,vật giá,prices,Noun,N5
4,お仕事,おしごと,công việc,"job, work",Noun,N5
4,料理,りょうり,món ăn,"cuisine, cooking",Noun,N5
4,パスポート,パスポート,hộ chiếu,passport,Noun,N5
4,どう,どう,thế nào,how,Adverb,N5
4,どんな,どんな,như thế nào,what kind of,Determiner,N5
4,どれ,どれ,cái nào,which,Pronoun,N5
4,とても,とても,rất,very,Adverb,N5
4,あまり,あまり,không ~ lắm,not very,Adverb,N5
4,そして,そして,"hơn nữa, và","and, moreover",Conjunction,N5
4,～が、～,～が、～,~ nhưng ~,but,Grammar,N5
5,月曜日,げつようび,thứ hai,Monday,Noun,N5
5,火曜日,かようび,thứ ba,Tuesday,Noun,N5
5,水曜日,すいようび,thứ tư,Wednesday,Noun,N5
5,木曜日,もくようび,thứ năm,Thursday,Noun,N5
5,金曜日,きんようび,thứ sáu,Friday,Noun,N5
5,土曜日,どようび,thứ bảy,Saturday,Noun,N5
5,日曜日,にちようび,chủ nhật,Sunday,Noun,N5
5,何曜日,なんようび,thứ mấy,what day,Noun,N5
5,今,いま,bây giờ,now,Noun,N5
5,午前,ごぜん,"sáng, trước 12 giờ trưa","a.m., morning",Noun,N5
5,午後,ごご,"chiều, sau 12 giờ trưa","p.m., afternoon",Noun,N5
5,半,はん,"rưỡi, nửa",half,Noun,N5
5,朝,あさ,buổi sáng,morning,Noun,N5
5,昼,ひる,buổi trưa,"noon, daytime",Noun,N5
5,夕方,ゆうがた,buổi chiều,evening,Noun,N5
5,晩,ばん,buổi tối,"evening, night",Noun,N5
5,夜,よる,"đêm, khuya",night,Noun,N5
5,一昨日,おととい,hôm kia,day before yesterday,Noun,N5
5,昨日,きのう,hôm qua,yesterday,Noun,N5
5,今日,きょう,hôm nay,today,Noun,N5
5,明日,あした,ngày mai,tomorrow,Noun,N5
5,明後日,あさって,ngày kia,day after tomorrow,Noun,N5
5,今朝,けさ,sáng nay,this morning,Noun,N5
5,今晩,こんばん,tối nay,tonight,Noun,N5
5,今夜,こんや,đêm nay,tonight,Noun,N5
5,休み,やすみ,"nghỉ, ngày nghỉ","rest, holiday",Noun,N5
5,昼休み,ひるやすみ,nghỉ trưa,lunch break,Noun,N5
5,毎朝,まいあさ,mỗi sáng,every morning,Noun,N5
5,毎晩,まいばん,mỗi tối,every evening,Noun,N5
5,毎日,まいにち,mỗi ngày,every day,Noun,N5
5,何時,なんじ,mấy giờ,what time,Noun,N5
5,何分,なんぷん,mấy phút,what minute,Noun,N5
5,働く,はたらく,làm việc,to work,Verb,N5
5,休む,やすむ,nghỉ ngơi,to rest,Verb,N5
5,終わる,おわる,kết thúc,"to end, finish",Verb,N5
5,起きる,おきる,thức dậy,to wake up,Verb,N5
5,寝る,ねる,ngủ,to sleep,Verb,N5
5,勉強する,べんきょうする,học,to study,Verb,N5
5,～から,～から,từ ~,from ~,Grammar,N5
5,～まで,～まで,đến ~,until ~,Grammar,N5
5,～と～,～と～,~ và ~,and,Grammar,N5
5,試験,しけん,kỳ thi,exam,Noun,N5
5,会議,かいぎ,cuộc họp,meeting,Noun,N5
6,飛行機,ひこうき,máy bay,airplane,Noun,N5
6,船,ふね,"thuyền, tàu thủy","ship, boat",Noun,N5
6,地下鉄,ちかてつ,tàu điện ngầm,subway,Noun,N5
6,電車,でんしゃ,tàu điện,train,Noun,N5
6,バイク,バイク,xe máy,motorbike,Noun,N5
6,バス,バス,xe bus,bus,Noun,N5
6,タクシー,タクシー,taxi,taxi,Noun,N5
6,自転車,じてんしゃ,xe đạp,bicycle,Noun,N5
6,歩いて,あるいて,đi bộ,on foot,Expression,N5
6,ホテル,ホテル,khách sạn,hotel,Noun,N5
6,美術館,びじゅつかん,bảo tàng mỹ thuật,art museum,Noun,N5
6,ホーチミン市,ホーチミンし,Thành phố Hồ Chí Minh,Ho Chi Minh City,Proper noun,N5
6,ハイズオン,ハイズオン,Hải Dương,Hai Duong,Proper noun,N5
6,ハロン湾,ハロンわん,vịnh Hạ Long,Ha Long Bay,Proper noun,N5
6,友達,ともだち,"bạn, bạn bè",friend,Noun,N5
6,一人で,ひとりで,một mình,alone,Expression,N5
6,人,ひと,người,person,Noun,N5
6,家族,かぞく,gia đình,family,Noun,N5
6,先週,せんしゅう,tuần trước,last week,Noun,N5
6,今週,こんしゅう,tuần này,this week,Noun,N5
6,来週,らいしゅう,tuần sau,next week,Noun,N5
6,先月,せんげつ,tháng trước,last month,Noun,N5
6,今月,こんげつ,tháng này,this month,Noun,N5
6,来月,らいげつ,tháng sau,next month,Noun,N5
6,去年,きょねん,năm ngoái,last year,Noun,N5
6,今年,ことし,năm nay,this year,Noun,N5
6,来年,らいねん,năm sau,next year,Noun,N5
6,一日,ついたち,mồng 1,first day of month,Noun,N5
6,二日,ふつか,mồng 2,second day,Noun,N5
6,三日,みっか,mồng 3,third day,Noun,N5
6,四日,よっか,mồng 4,fourth day,Noun,N5
6,五日,いつか,mồng 5,fifth day,Noun,N5
6,六日,むいか,mồng 6,sixth day,Noun,N5
6,七日,なのか,mồng 7,seventh day,Noun,N5
6,八日,ようか,mồng 8,eighth day,Noun,N5
6,九日,ここのか,mồng 9,ninth day,Noun,N5
6,十日,とおか,mồng 10,tenth day,Noun,N5
6,十四日,じゅうよっか,ngày 14,fourteenth day,Noun,N5
6,二十日,はつか,ngày 20,twentieth day,Noun,N5
6,二十四日,にじゅうよっか,ngày 24,twenty-fourth day,Noun,N5
6,誕生日,たんじょうび,sinh nhật,birthday,Noun,N5
6,～ごろ,～ごろ,khoảng ~,"about, around",Grammar,N5
6,何日,なんにち,"ngày mấy, bao nhiêu ngày","what date, how many days",Noun,N5
6,何月,なんがつ,tháng mấy,what month,Noun,N5
6,いつ,いつ,"bao giờ, khi nào",when,Pronoun,N5
6,行く,いく,đi,to go,Verb,N5
6,来る,くる,đến,to come,Verb,N5
6,帰る,かえる,về,to return,Verb,N5
6,日記,にっき,nhật ký,diary,Noun,N5
6,本社,ほんしゃ,trụ sở chính,head office,Noun,N5
6,空港,くうこう,sân bay,airport,Noun,N5
7,チョコレート,チョコレート,sô cô la,chocolate,Noun,N5
7,パン,パン,bánh mì,bread,Noun,N5
7,ご飯,ごはん,cơm,"rice, meal",Noun,N5
7,卵,たまご,trứng,egg,Noun,N5
7,肉,にく,thịt,meat,Noun,N5
7,牛肉,ぎゅうにく,thịt bò,beef,Noun,N5
7,魚,さかな,cá,fish,Noun,N5
7,野菜,やさい,rau củ,vegetables,Noun,N5
7,果物,くだもの,hoa quả,fruit,Noun,N5
7,水,みず,nước,water,Noun,N5
7,お茶,おちゃ,trà,tea,Noun,N5
7,コーヒー,コーヒー,cà phê,coffee,Noun,N5
7,ワイン,ワイン,rượu vang,wine,Noun,N5
7,ジュース,ジュース,nước hoa quả,juice,Noun,N5
7,ビール,ビール,bia,beer,Noun,N5
7,お酒,おさけ,rượu,"alcohol, sake",Noun,N5
7,たばこ,たばこ,thuốc lá,"tobacco, cigarette",Noun,N5
7,薬,くすり,thuốc,medicine,Noun,N5
7,手紙,てがみ,thư,letter,Noun,N5
7,メール,メール,mail,email,Noun,N5
7,レポート,レポート,bản báo cáo,report,Noun,N5
7,コメント,コメント,bình luận,comment,Noun,N5
7,音楽,おんがく,âm nhạc,music,Noun,N5
7,映画,えいが,"phim, điện ảnh",movie,Noun,N5
7,写真,しゃしん,ảnh,photograph,Noun,N5
7,宿題,しゅくだい,bài tập về nhà,homework,Noun,N5
7,テニス,テニス,tennis,tennis,Noun,N5
7,サッカー,サッカー,bóng đá,soccer,Noun,N5
7,お花見,おはなみ,ngắm hoa anh đào,cherry blossom viewing,Noun,N5
7,レストラン,レストラン,nhà hàng,restaurant,Noun,N5
7,カフェ,カフェ,quán cà phê,café,Noun,N5
7,庭,にわ,vườn,garden,Noun,N5
7,店,みせ,"cửa hàng, tiệm","shop, store",Noun,N5
7,お正月,おしょうがつ,"tết, năm mới",New Year,Noun,N5
7,みんなで,みんなで,mọi người cùng,together with everyone,Expression,N5
7,何,なに,"cái gì, gì",what,Pronoun,N5
7,読む,よむ,đọc,to read,Verb,N5
7,書く,かく,viết,to write,Verb,N5
7,買う,かう,mua,to buy,Verb,N5
7,「写真を」撮る,「しゃしんを」とる,chụp ảnh,to take a picture,Verb,N5
7,聞く,きく,nghe,to listen,Verb,N5
7,吸う,すう,hút thuốc,to smoke,Verb,N5
7,する,する,làm,to do,Verb,N5
7,会う,あう,gặp,to meet,Verb,N5
7,飲む,のむ,uống,to drink,Verb,N5
7,食べる,たべる,ăn,to eat,Verb,N5
7,見る,みる,"xem, nhìn","to see, watch",Verb,N5
7,食事する,しょくじする,dùng bữa,to have a meal,Verb,N5
7,一緒に,いっしょに,cùng nhau,together,Adverb,N5
7,ちょっと,ちょっと,một chút,a little,Adverb,N5
7,いつも,いつも,luôn luôn,always,Adverb,N5
7,時々,ときどき,thỉnh thoảng,sometimes,Adverb,N5
8,父,ちち,bố (của mình),my father,Noun,N5
8,母,はは,mẹ (của mình),my mother,Noun,N5
8,お父さん,おとうさん,bố,"father, dad",Noun,N5
8,お母さん,おかあさん,mẹ,"mother, mom",Noun,N5
8,夫 / 主人,おっと / しゅじん,chồng (mình),husband,Noun,N5
8,妻 / 家内,つま / かない,vợ (mình),wife,Noun,N5
8,ご主人,ごしゅじん,chồng (người khác),someone else's husband,Noun,N5
8,奥さん,おくさん,vợ (người khác),someone else's wife,Noun,N5
8,手,て,tay,hand,Noun,N5
8,箸,はし,đũa,chopsticks,Noun,N5
8,スプーン,スプーン,thìa,spoon,Noun,N5
8,フォーク,フォーク,"dĩa, nĩa",fork,Noun,N5
8,ナイフ,ナイフ,dao,knife,Noun,N5
8,はさみ,はさみ,kéo,scissors,Noun,N5
8,紙,かみ,giấy,paper,Noun,N5
8,花,はな,hoa,flower,Noun,N5
8,シャツ,シャツ,áo sơ mi,shirt,Noun,N5
8,プレゼント,プレゼント,quà tặng,"present, gift",Noun,N5
8,切符,きっぷ,vé,ticket,Noun,N5
8,お茶碗,おちゃわん,bát,rice bowl,Noun,N5
8,お金,おかね,tiền,money,Noun,N5
8,クリスマス,クリスマス,Giáng sinh,Christmas,Proper noun,N5
8,インターネット,インターネット,internet,internet,Noun,N5
8,ニュース,ニュース,tin tức,news,Noun,N5
8,切る,きる,cắt,to cut,Verb,N5
8,送る,おくる,gửi,to send,Verb,N5
8,貰う,もらう,nhận,to receive,Verb,N5
8,習う,ならう,học,to learn,Verb,N5
8,貸す,かす,cho mượn,to lend,Verb,N5
8,あげる,あげる,"cho, tặng",to give,Verb,N5
8,教える,おしえる,dạy,to teach,Verb,N5
8,「電話を～」かける,「でんわを～」かける,gọi điện thoại,to make a phone call,Verb,N5
8,借りる,かりる,"vay, mượn",to borrow,Verb,N5
8,もう,もう,đã,already,Adverb,N5
8,まだ,まだ,"vẫn, chưa","still, not yet",Adverb,N5
8,これから,これから,từ bây giờ,from now on,Expression,N5
8,この間,このあいだ,"vừa rồi, hôm nọ",the other day,Expression,N5
8,好き [な],すき [な],thích,like,Na-adjective,N5
8,嫌い [な],きらい [な],"ghét, không thích",dislike,Na-adjective,N5
8,上手 [な],じょうず [な],"giỏi, khéo","skillful, good at",Na-adjective,N5
9,下手 [な],へた [な],kém,"unskillful, poor at",Na-adjective,N5
9,痛い,いたい,đau,painful,I-adjective,N5
9,お祖父さん,おじいさん,ông,grandfather,Noun,N5
9,お祖父ちゃん,おじいちゃん,ông,grandpa,Noun,N5
9,お祖母さん,おばあさん,bà,grandmother,Noun,N5
9,お祖母ちゃん,おばあちゃん,bà,grandma,Noun,N5
9,歯医者,はいしゃ,nha sĩ,dentist,Noun,N5
9,料理,りょうり,"món ăn, việc nấu ăn","cooking, cuisine",Noun,N5
9,飲み物,のみもの,đồ uống,"drink, beverage",Noun,N5
9,スポーツ,スポーツ,thể thao,sports,Noun,N5
9,野球,やきゅう,bóng chày,baseball,Noun,N5
9,ダンス,ダンス,"nhảy, khiêu vũ",dance,Noun,N5
9,カラオケ,カラオケ,karaoke,karaoke,Noun,N5
9,歌,うた,bài hát,song,Noun,N5
9,歌舞伎,かぶき,kịch kabuki,Kabuki,Noun,N5
9,絵,え,"tranh, hội họa","picture, painting",Noun,N5
9,字,じ,chữ,"character, letter",Noun,N5
9,漢字,かんじ,chữ Hán,kanji,Noun,N5
9,風邪,かぜ,"cảm, cúm","cold, flu",Noun,N5
9,熱,ねつ,sốt,fever,Noun,N5
9,時間,じかん,thời gian,time,Noun,N5
9,用事,ようじ,"việc bận, công chuyện","errand, business",Noun,N5
9,約束,やくそく,"cuộc hẹn, lời hứa","promise, appointment",Noun,N5
9,歯,は,răng,tooth,Noun,N5
9,どうして,どうして,tại sao,why,Adverb,N5
9,分かる,わかる,hiểu,to understand,Verb,N5
9,有る,ある,có (sở hữu),to have,Verb,N5
9,よく,よく,"tốt, rõ, thường","well, often",Adverb,N5
9,だいたい,だいたい,đại khái,"roughly, generally",Adverb,N5
9,たくさん,たくさん,nhiều,"many, a lot",Adverb,N5
9,少し,すこし,"ít, một ít",a little,Adverb,N5
9,全然,ぜんぜん,hoàn toàn không ~,not at all,Adverb,N5
9,早く,はやく,"sớm, nhanh","early, quickly",Adverb,N5
9,～から,～から,vì ~,because ~,Grammar,N5
9,他に,ほかに,ngoài ra,"besides, in addition",Adverb,N5
9,コンサート,コンサート,buổi hòa nhạc,concert,Noun,N5
9,チケット,チケット,vé,ticket,Noun,N5
9,残念,ざんねん,đáng tiếc,regrettable,Na-adjective,N5
9,色々 [な],いろいろ [な],"nhiều, đa dạng",various,Na-adjective,N5
9,男の人,おとこのひと,người đàn ông,man,Noun,N5
9,女の人,おんなのひと,người phụ nữ,woman,Noun,N5
10,男の子,おとこのこ,cậu bé,boy,Noun,N5
10,女の子,おんなのこ,cô bé,girl,Noun,N5
10,犬,いぬ,chó,dog,Noun,N5
10,猫,ねこ,mèo,cat,Noun,N5
10,木,き,"cây, gỗ","tree, wood",Noun,N5
10,物,もの,"vật, đồ vật","thing, object",Noun,N5
10,箱,はこ,hộp,box,Noun,N5
10,冷蔵庫,れいぞうこ,tủ lạnh,refrigerator,Noun,N5
10,テーブル,テーブル,bàn,table,Noun,N5
10,ベッド,ベッド,giường,bed,Noun,N5
10,公園,こうえん,công viên,park,Noun,N5
10,本屋,ほんや,hiệu sách,bookstore,Noun,N5
10,池,いけ,cái ao,pond,Noun,N5
10,～屋,～や,"hiệu ~, cửa hàng ~","shop, store",Suffix,N5
10,地下,ちか,tầng hầm,"basement, underground",Noun,N5
10,上,うえ,trên,"above, on",Noun,N5
10,下,した,dưới,"below, under",Noun,N5
10,前,まえ,trước,"front, before",Noun,N5
10,後ろ,うしろ,sau,behind,Noun,N5
10,右,みぎ,phải,right,Noun,N5
10,左,ひだり,trái,left,Noun,N5
10,中,なか,"trong, giữa","inside, middle",Noun,N5
10,外,そと,ngoài,outside,Noun,N5
10,隣,となり,bên cạnh,next to,Noun,N5
10,近く,ちかく,gần,nearby,Noun,N5
10,間,あいだ,giữa,between,Noun,N5
10,有る,ある,có (đồ vật tồn tại),to exist (things),Verb,N5
10,居る,いる,"có, ở (người/động vật tồn tại)",to exist (people/animals),Verb,N5
10,～や～など,～や～など,"~ và ~, v.v.",~ and ~ etc.,Grammar,N5
10,男の人,おとこのひと,người đàn ông,man,Noun,N5
10,女の人,おんなのひと,người phụ nữ,woman,Noun,N5
10,子供,こども,"trẻ con, trẻ em",child,Noun,N5
11,恋人,こいびと,người yêu,"lover, boyfriend/girlfriend",Noun,N5
11,兄,あに,anh trai (mình),my older brother,Noun,N5
11,お兄さん,おにいさん,anh trai,older brother,Noun,N5
11,姉,あね,chị gái (mình),my older sister,Noun,N5
11,お姉さん,おねえさん,chị gái,older sister,Noun,N5
11,弟,おとうと,em trai,younger brother,Noun,N5
11,妹,いもうと,em gái,younger sister,Noun,N5
11,兄弟,きょうだい,anh em,siblings,Noun,N5
11,子供,こども,trẻ em,child,Noun,N5
11,アイスクリーム,アイスクリーム,kem,ice cream,Noun,N5
11,はがき,はがき,bưu thiếp,postcard,Noun,N5
11,奥,おく,"bên trong, phía trong","inner part, back",Noun,N5
11,机,つくえ,"bàn học, bàn làm việc",desk,Noun,N5
11,棚,たな,cái kệ,shelf,Noun,N5
11,ドア,ドア,cửa,door,Noun,N5
11,窓,まど,cửa sổ,window,Noun,N5
11,ポスト,ポスト,hộp thư,mailbox,Noun,N5
11,ビデオ,ビデオ,video,video,Noun,N5
11,CD,シーディー,đĩa CD,CD,Noun,N5
11,カセットテープ,カセットテープ,băng cassette,cassette tape,Noun,N5
11,セーター,セーター,áo len,sweater,Noun,N5
11,コート,コート,áo khoác,coat,Noun,N5
11,ノートパソコン,ノートパソコン,laptop,laptop,Noun,N5
11,カレー,カレー,cà ri,curry,Noun,N5
11,スイッチ,スイッチ,công tắc,switch,Noun,N5
11,電気,でんき,"điện, đèn điện","electricity, light",Noun,N5
11,電車,でんしゃ,tàu điện,train,Noun,N5
11,空,そら,bầu trời,sky,Noun,N5
11,海,うみ,biển,sea,Noun,N5
11,世界,せかい,thế giới,world,Noun,N5
11,パーティー,パーティー,bữa tiệc,party,Noun,N5
11,[お]祭り,おまつり,lễ hội,festival,Noun,N5
