Id,Kanji,Han-Viet Pronunciation,Kun,On,Meaning,Word 1,Word 2,Word 3,MemoryTip,StrokeCount,Level,Image,Bộ thủ chính
,降,Giáng,"お.りる・ふ.る","コウ",Rơi/Xuống,降る【ふる】rơi (mưa),降りる【おりる】xuống xe,降ろす【おろす】rút tiền/thả xuống,Bước chân (歩) đi xuống vùng đất (阝) thấp,10,N4,,阜
,私,Tư,"わたし・わたくし","シ",Tôi,私【わたし】tôi,私的【してき】mang tính cá nhân,私物【しぶつ】đồ riêng,Cây lúa (禾) của riêng tư (厶) cá nhân,7,N4,,禾
,夫,Phu,"おっと","フ・フウ",Chồng,夫【おっと】chồng (mình),大丈夫【だいじょうぶ】không sao đâu,夫婦【ふうふ】vợ chồng,Người đàn ông lớn (大) đội mũ (一) là người chồng,4,N4,,大
,主,Chủ,"おも・ぬし","シュ・ス",Chủ nhân,ご主人【ごしゅじん】chồng (người khác),主人公【しゅじんこう】nhân vật chính,主に【おもに】chủ yếu,Dấu chấm (丶) của vua (王) định đoạt làm chủ,5,N4,,丶
,題,Đề,"","ダイ",Vấn đề,問題【もんだい】vấn đề,宿題【しゅくだい】bài tập về nhà,話題【わだい】chủ đề,Phải (是) dùng đầu (頁) để giải quyết vấn đề,18,N4,,頁
,紙,Chỉ,"かみ","シ",Giấy,紙【かみ】giấy,手紙【てがみ】bức thư,折り紙【おりがみ】nghệ thuật gấp giấy,Giấy làm từ tơ chỉ (糸) của dòng dõi (氏) quý tộc,10,N4,,糸
,英,Anh,"","エイ",Tiếng Anh,英語【えいご】tiếng Anh,英国【えいこく】nước Anh,英雄【えいゆう】anh hùng,Cây cỏ (艹) mọc vươn lên ở giữa trung tâm (央),8,N4,,艸
,語,Ngữ,"かた.る・かた.らう","ゴ",Ngôn ngữ,日本語【にほんご】tiếng Nhật,外国語【がいこくご】tiếng nước ngoài,単語【たんご】từ vựng,Lời nói (言) truyền đạt cho năm (五) người (口),14,N4,,言
,待,Đãi,"ま.つ","タイ",Chờ đợi,待つ【まつ】đợi,招待【しょうたい】chiêu đãi/mời,期待【きたい】kỳ vọng,Người (彳) đứng mỏi mòn chờ đợi ở chùa (寺),9,N4,,彳
,開,Khai,"あ.く・ひら.く","カイ",Mở,開く【あく】mở ra,開ける【あける】mở (cửa),開発【かいはつ】phát triển,Hai tay nâng thanh chắn ngang cổng (門) để mở,12,N4,,門
,閉,Bế,"し.める・し.まる","ヘイ",Đóng lại,閉める【しめる】đóng lại,閉まる【しまる】bị đóng,閉じる【とじる】nhắm (mắt)/gập,Người có tài (才) đứng canh đóng cổng (門),11,N4,,門
,奥,Áo,"おく","オウ・イク",Bên trong,奥さん【おくさん】vợ (người khác),奥様【おくさま】quý phu nhân,奥行き【おくゆき】chiều sâu,Người (大) đi sâu vào bên trong nhà (宀),12,N4,,大
,妻,Thê,"つま","サイ",Vợ,妻【つま】vợ (mình),夫妻【ふさい】vợ chồng,愛妻【あいさい】vợ yêu,Người phụ nữ (女) cầm chổi dọn dẹp là người vợ,8,N4,,女
,兄,Huynh,"あに","ケイ・キョウ",Anh trai,兄【あに】anh trai (mình),お兄さん【おにいさん】anh trai (người khác),兄弟【きょうだい】anh em,Anh trai là người (儿) có quyền đứng nói (口),5,N4,,儿
,弟,Đệ,"おとうと","テイ・ダイ",Em trai,弟【おとうと】em trai (mình),兄弟【きょうだい】anh em,弟子【でし】đệ tử,Cây cung (弓) bị quấn (丿) bởi người em trêu đùa,7,N4,,弓
,姉,Tỷ,"あね","シ",Chị gái,姉【あね】chị gái (mình),お姉さん【おねえさん】chị gái (người khác),姉妹【しまい】chị em gái,Người phụ nữ (女) đi chợ (市) là người chị,8,N4,,女
,妹,Muội,"いもうと","マイ",Em gái,妹【いもうと】em gái (mình),姉妹【しまい】chị em gái,妹さん【いもうとさん】em gái (người khác),Người phụ nữ (女) mà chưa lớn (未) là em gái,8,N4,,女
,春,Xuân,"はる","シュン",Mùa xuân,春【はる】mùa xuân,青春【せいしゅん】thanh xuân,春夏秋冬【しゅんかしゅうとう】xuân hạ thu đông,Ba (三) người (人) ra ngắm mặt trời (日) mùa xuân,9,N4,,日
,夏,Hạ,"なつ","カ",Mùa hè,夏【なつ】mùa hè,夏休み【なつやすみ】nghỉ hè,真夏【まなつ】giữa hè,Bước đi (夂) dưới nắng hè nên che mắt (目) lại,10,N4,,夂
,秋,Thu,"あき","シュウ",Mùa thu,秋【あき】mùa thu,秋晴れ【あきばれ】nắng thu,晩秋【ばんしゅう】cuối thu,Cây lúa (禾) bị cháy khô (火) vào mùa thu,9,N4,,禾
,冬,Đông,"ふゆ","トウ",Mùa đông,冬【ふゆ】mùa đông,真冬【まふゆ】giữa mùa đông,冬休み【ふゆやすみ】nghỉ đông,Bước đi (夂) trên hai tảng băng (冫) mùa đông,5,N4,,冫
,雪,Tuyết,"ゆき","セツ",Tuyết,雪【ゆき】tuyết,大雪【おおゆき】tuyết rơi dày,初雪【はつゆき】tuyết đầu mùa,Tuyết giống như cơn mưa (雨) rơi trên chiếc chổi (ヨ),11,N4,,雨
,海,Hải,"うみ","カイ",Biển,海【うみ】biển,海外【かいがい】nước ngoài,海岸【かいがん】bờ biển,Mỗi (毎) giọt nước (氵) gom lại thành vùng biển,9,N4,,水
,天,Thiên,"あまつ","テン",Bầu trời,天気【てんき】thời tiết,天気予報【てんきよほう】dự báo thời tiết,天才【てんさい】thiên tài,Người lớn (大) chỉ ngón tay (一) lên trời,4,N4,,大
,空,Không,"そら・から・あ.く","クウ",Bầu trời,空【そら】bầu trời,空港【くうこう】sân bay,空気【くうき】không khí,Cái hang (穴) dưới kỹ thuật (工) đào bị trống không,8,N4,,穴
,暑,Thử,"あつ.い","ショ",Nóng,暑い【あつい】nóng,猛暑【もうしょ】nóng gay gắt,避暑【ひしょ】tránh nóng,Mặt trời (日) chiếu trên người (者) gây nóng bức,12,N4,,日
,寒,Hàn,"さむ.い","カン",Lạnh,寒い【さむい】lạnh,寒気【さむけ】cảm giác ớn lạnh,防寒【ぼうかん】chống rét,Mái nhà (宀) rơm (艹) vẫn lạnh run dưới băng (冫),12,N4,,宀
,早,Tảo,"はや.い","ソウ",Sớm,早い【はやい】sớm,早起き【はやおき】dậy sớm,早退【そうたい】về sớm,Mặt trời (日) mọc chéo trên thập giá (十) rất sớm,6,N4,,日
,速,Tốc,"はや.い","ソク",Nhanh,速い【はやい】nhanh chóng,早速【さっそく】ngay lập tức,速度【そくど】tốc độ,Đi bộ (辶) mà như bị buộc (束) lại bắt chạy nhanh,10,N4,,辵
,遅,Trì,"おそ.い・おく.れる","チ",Muộn,遅い【おそい】muộn,遅れる【おくれる】chậm trễ,遅刻【ちこく】đến muộn,Con cừu (羊) bị thương thi thể (尸) nên đi (辶) muộn,12,N4,,辵
,重,Trọng,"おも.い・かさ.ねる","ジュウ・チョウ",Nặng,重い【おもい】nặng,重さ【おもさ】sức nặng,貴重【きちょう】quý trọng,Chiếc xe (車) chở một nghìn (千) kg thì rất nặng,9,N4,,里
,軽,Khinh,"かる.い","ケイ",Nhẹ,軽い【かるい】nhẹ,軽食【けいしょく】bữa ăn nhẹ,手軽【てがる】nhẹ nhàng/đơn giản,Xe (車) chỉ chở toàn sợi tơ (又 trên 土) thì rất nhẹ,12,N4,,車
,近,Cận,"ちか.い","キン・コン",Gần,近い【ちかい】gần,最近【さいきん】gần đây,近所【きんじょ】hàng xóm,Cầm cái rìu (斤) đi bộ (辶) đến những nơi gần,7,N4,,辵
,遠,Viễn,"とお.い","エン・オン",Xa,遠い【とおい】xa,遠足【えんそく】dã ngoại,永遠【えいえん】vĩnh viễn,Đường (辶) quá xa nên phải đi quấn vòng (袁),13,N4,,辵
,質,Chất,"","シツ",Chất lượng,質問【しつもん】câu hỏi,品質【ひんしつ】chất lượng,性質【せいしつ】tính chất,Dùng 2 cây rìu (斤) chặt vỏ sò (貝) kiểm tra chất,15,N4,,貝
,問,Vấn,"と.う","モン",Hỏi,問題【もんだい】vấn đề,質問【しつもん】hỏi,学問【がくもん】học vấn,Mở miệng (口) đứng trước cửa (門) để cất tiếng hỏi,11,N4,,門
,答,Đáp,"こた.える・こた.え","トウ",Trả lời,答える【こたえる】trả lời,答え【こたえ】câu trả lời,回答【かいとう】hồi đáp,Lấy các thanh trúc (竹) hợp (合) lại làm bảng trả lời,12,N4,,竹
,作,Tác,"つく.る","サク・サ",Làm,作る【つくる】làm/chế biến,作文【さくぶん】bài văn,操作【そうさ】thao tác,Người (亻) đột nhiên (乍) làm việc tạo ra tác phẩm,7,N4,,人
,思,Tư,"おも.う","シ",Suy nghĩ,思う【おもう】nghĩ,思い出す【おもいだす】nhớ lại,不思議【ふしぎ】kỳ lạ,Trái tim (心) ẩn dưới ruộng (田) để suy tư,9,N4,,心
,始,Thủy,"はじ.める・はじ.まる","シ",Bắt đầu,始める【はじめる】bắt đầu,始まる【はじまる】bắt đầu,開始【かいし】sự bắt đầu,Người phụ nữ (女) bước lên bục (台) để bắt đầu,8,N4,,女
,着,Trứ,"き.る・つ.く","チャク",Mặc,着る【きる】mặc,上着【うわぎ】áo khoác,到着【とうちゃく】đến nơi,Con dê (羊) che mắt (目) đang mặc đồ,12,N4,,羊
,集,Tập,"あつ.める・あつ.まる","シュウ",Tập hợp,集める【あつめる】thu thập,集まる【あつまる】tập trung,集中【しゅうちゅう】tập trung,Những con chim (隹) đậu trên cây (木) để tập hợp,12,N4,,隹
,練,Luyện,"ね.る","レン",Luyện tập,練習【れんしゅう】luyện tập,訓練【くんれん】huấn luyện,洗練【せんれん】trau chuốt,Cuộn chỉ (糸) ở phía đông (東) cần được luyện tập,14,N4,,糸
,晴,Tình,"は.れる・は.れ","セイ",Nắng,晴れる【はれる】nắng/quang đãng,晴天【せいてん】trời trong xanh,素晴らしい【すばらしい】tuyệt vời,Mặt trời (日) chiếu làm bầu trời xanh (青) và trong,12,N4,,日
,星,Tinh,"ほし","セイ",Ngôi sao,星【ほし】sao,星占い【ほしうらない】bói tử vi,流れ星【ながれぼし】sao băng,Mặt trời (日) sinh (生) ra những vì sao lấp lánh,9,N4,,日
,風,Phong,"かぜ・かざ","フウ・フ",Gió,風【かぜ】gió,台風【たいふう】cơn bão,洋風【ようふ】kiểu Tây,Côn trùng (虫) ẩn nấp trong cánh buồm (凡) chắn gió,9,N4,,風
,然,Nhiên,"","ゼン・ネン",Tự nhiên,全然【ぜんぜん】hoàn toàn,自然【しぜん】tự nhiên,天然【てんねん】thiên nhiên,Chó (犬) ăn thịt (月) nướng lửa (灬) là lẽ tự nhiên,12,N4,,火
,油,Du,"あぶら","ユ・ユウ",Dầu,油【あぶら】dầu,石油【せきゆ】dầu mỏ,しょう油【しょうゆ】nước tương,Nước (氵) chiết xuất từ lý do (由) làm ra dầu,8,N4,,水
,原,Nguyên,"はら","ゲン",Nguyên bản,原料【げんりょう】nguyên liệu,原因【げんいん】nguyên nhân,野原【のはら】cánh đồng,Dòng suối (泉) chảy dưới vách đá (厂) nguyên bản,10,N4,,厂
,皿,Mãnh,"さら","ベツ",Cái đĩa,お皿【おさら】cái đĩa,灰皿【はいざら】gạt tàn,紙皿【かみざら】đĩa giấy,Hình ảnh tượng hình của một chiếc đĩa có viền cong,5,N4,,皿
,建,Kiến,"た.てる・た.つ","ケン・コン",Xây dựng,建てる【たてる】xây dựng,建物【たてもの】tòa nhà,建設【けんせつ】kiến thiết,Cầm cây bút (聿) vẽ đường (廴) xây dựng,9,N4,,廴
,物,Vật,"もの","ブツ・モツ",Vật/Đồ vật,買い物【かいもの】mua sắm,動物【どうぶつ】động vật,荷物【にもつ】hành lý,Con bò (牛) đang mang theo đồ vật (勿),8,N4,,牛
,発,Phát,"た.つ","ハツ・ホツ",Khởi hành/Phát ra,出発【しゅっぱつ】xuất phát,発見【はっけん】phát hiện,発明【はつめい】phát minh,Hai chân đạp lên cung (弓) lao đi phát ra,9,N4,,癶
,業,Nghiệp,"わざ","ギョウ・ゴウ",Nghiệp vụ,授業【じゅぎょう】tiết học,卒業【そつぎょう】tốt nghiệp,工業【こうぎょう】công nghiệp,Người nông dân đội mũ làm nông nghiệp,13,N4,,木
,意,Ý,"","イ",Ý nghĩa/Ý nghĩ,意味【いみ】ý nghĩa,意見【いけん】ý kiến,注意【ちゅうい】chú ý,Âm thanh (音) phát ra từ trái tim (心) là ý nghĩ,13,N4,,心
,味,Vị,"あじ・あじ.わう","ミ",Mùi vị,味【あじ】vị,意味【いみ】ý nghĩa,趣味【しゅみ】sở thích,Cái miệng (口) chưa (未) nếm thử mùi vị,8,N4,,口
,運,Vận,"はこ.ぶ","ウン",Vận chuyển/Vận mệnh,運ぶ【はこぶ】vận chuyển,運動【うんどう】vận động,運転【うんてん】lái xe,Quân đội (軍) đi (辶) vận chuyển hàng,12,N4,,辵
,転,Chuyển,"ころ.ぶ・ころ.がる","テン",Lăn/Chuyển,転ぶ【ころぶ】ngã,運転【うんてん】lái xe,自転車【じてんしゃ】xe đạp,Bánh xe (車) lăn vòng (云) chuyển động,11,N4,,車
,品,Phẩm,"しな","ヒン",Sản phẩm,品物【しなもの】hàng hóa,作品【さくひん】tác phẩm,部品【ぶひん】linh kiện,Ba cái miệng (口) cùng đánh giá sản phẩm,9,N4,,口
,洗,Tẩy,"あら.う","セン",Rửa,洗う【あらう】rửa,洗濯【せんたく】giặt giũ,お手洗い【おてあらい】nhà vệ sinh,Dùng nước (氵) rửa sạch bùn đất trước (先),9,N4,,水
,悪,Ác,"わる.い","アク・オ",Xấu/Ác,悪い【わるい】xấu,悪口【わるぐち】nói xấu,最悪【さいあく】tồi tệ nhất,Trái tim (心) bị nén xuống (亜) trở nên xấu xa,11,N4,,心
,理,Lý,"ことわり","リ",Lý lẽ,理由【りゆう】lý do,料理【りょうり】nấu ăn,無理【むり】vô lý,Vua (王) dùng ngôi làng (里) để quản lý,11,N4,,玉
,料,Liệu,"","リョウ",Tài liệu/Phí,料理【りょうり】nấu ăn,料金【りょうきん】phí,給料【きゅうりょう】tiền lương,Cân (斗) gạo (米) để tính phí tài liệu,10,N4,,斗
,起,Khởi,"お.きる・お.こす","キ",Thức dậy,起きる【おきる】thức dậy,起こす【おこす】đánh thức,早起き【はやおき】dậy sớm,Kỷ (己) đi bộ (走) từ lúc thức dậy,10,N4,,走
,寝,Tẩm,"ね.る・ね.かす","シン",Ngủ,寝る【ねる】ngủ,昼寝【ひるね】ngủ trưa,寝室【しんしつ】phòng ngủ,Dưới mái nhà (宀) có chiếc giường để ngủ,13,N4,,宀
,乗,Thừa,"の.る・の.せる","ジョウ",Lên xe,乗る【のる】lên xe,乗り物【のりもの】phương tiện,乗客【じょうきゃく】hành khách,Người chắp tay đứng lên cây (木) để lên xe,9,N4,,丿
,便,Tiện,"たよ.り","ベン・ビン",Tiện lợi/Thư tín,便利【べんり】tiện lợi,郵便局【ゆうびんきょく】bưu điện,便所【べんじょ】nhà vệ sinh,Người (亻) sửa đổi (更) cho tiện lợi hơn,9,N4,,人
,利,Lợi,"き.く","リ",Lợi ích,便利【べんり】tiện lợi,利用【りよう】sử dụng,利益【りえき】lợi nhuận,Dùng dao (刂) gặt lúa (禾) thu lợi ích,7,N4,,刀
,不,Bất,"","フ・ブ",Không,不便【ふべん】bất tiện,不安【ふあん】bất an,不足【ふそく】thiếu thốn,Chữ Nhất (一) bị gạch chéo đi xuống là Không,4,N4,,一
,有,Hữu,"あ.る","ユウ・ウ",Có,有名【ゆうめい】nổi tiếng,有料【ゆうりょう】có phí,所有【しょゆう】s sở hữu,Tay cầm mặt trăng (月) là có,6,N4,,月
,特,Đặc,"","トク",Đặc biệt,特別【とくべつ】đặc biệt,特急【とっきゅう】tàu tốc hành,特徴【とくちょう】đặc trưng,Con bò (牛) ở chùa (寺) rất đặc biệt,10,N4,,牛
,別,Biệt,"わか.れる","ベツ",Phân biệt,別れる【わかれる】chia tay,特別【とくべつ】đặc biệt,別に【べつに】không có gì đặc biệt,Dùng dao (刂) hớt cái miệng (口) để phân biệt,7,N4,,刀
,借,Tá,"か.りる","シャク",Mượn,借りる【かりる】mượn,借金【しゃっきん】tiền nợ,借家【しゃくや】nhà thuê,Người (亻) mượn tiền ngày xưa (昔),10,N4,,人
,貸,Thải,"か.す","タイ",Cho mượn,貸す【かす】cho mượn,貸し出し【かしだし】cho mượn sách,賃貸【ちんたい】cho thuê,Thay thế (代) tiền (貝) để cho mượn,12,N4,,貝
,返,Phản,"かえ.す・かえ.る","ヘン",Trả lại,返す【かえす】trả lại,返事【へんじ】hồi âm,返信【へんしん】trả lời tin nhắn,Đi bộ (辶) ngược (反) lại để trả đồ,7,N4,,辵
