word,kanji,meaning,jlptLevel,lesson_number
てちょう,手帳,sổ tay,N5,2
じしょ,辞書,từ điển,N5,2
しんぶん,新聞,báo,N5,2
ざっし,雑誌,tạp chí,N5,2
めいし,名刺,danh thiếp,N5,2
カード,,"thẻ, cạc",N5,2
クレジットカード,,thẻ tín dụng,N5,2
ぼうし,帽子,mũ,N5,2
さいふ,財布,ví,N5,2
かばん,,"cặp sách, túi sách",N5,2
くつ,靴,giày,N5,2
スリッパ,,dép đi trong nhà,N5,2
くつした,靴下,tất,N5,2
かぎ,鍵,chìa khóa,N5,2
かさ,傘,"ô, dù",N5,2
つくえ,机,cái bàn,N5,2
いす,椅子,cái ghế,N5,2
えいご,英語,tiếng Anh,N5,2
なん,何,cái gì (từ để hỏi),N5,2
そう,,"đúng, phải, đúng vậy",N5,2
ちがいます,違います,"không phải, sai rồi",N5,2
ほんのきもち,ほんの気持ち,Đây là chút lòng thành của tôi!,N5,2
ここ,,"chỗ này, đây",N5,3
そこ,,"chỗ đó, đó",N5,3
あそこ,,"chỗ kia, kia",N5,3
どこ,,"chỗ nào, đâu",N5,3
こちら,,phía này,N5,3
そちら,,phía đó,N5,3
あちら,,phía kia,N5,3
どちら,,phía nào,N5,3
うけつけ,受付,"quầy lễ tân (dùng cho công ty, cơ quan)",N5,3
フロント,,quầy lễ tân (dùng cho khách sạn),N5,3
かいだん,階段,cầu thang,N5,3
エレベーター,,thang máy,N5,3
エスカレーター,,thang cuốn,N5,3
おてあらい,お手洗い,phòng vệ sinh,N5,3
トイレ,,phòng vệ sinh,N5,3
うち,,nhà,N5,3
いえ,,nhà,N5,3
へや,部屋,căn phòng,N5,3
きょうしつ,教室,phòng học,N5,3
じむしょ,事務所,văn phòng,N5,3
かいぎしつ,会議室,phòng họp,N5,3
しょくどう,食堂,nhà ăn,N5,3
ビル,,tòa nhà,N5,3
デパート,,trung tâm thương mại,N5,3
スーパー,,siêu thị,N5,3
センター,,trung tâm,N5,3
えいがかん,映画館,rạp chiếu phim,N5,3
きっさてん,喫茶店,"quán trà, cà phê",N5,3
としょかん,図書館,thư viện,N5,3
かいしゃ,会社,công ty,N5,3
がっこう,学校,trường học,N5,3
ゆうびんきょく,郵便局,bưu điện,N5,3
ぎんこう,銀行,ngân hàng,N5,3
バスてい,,trạm xe bus,N5,3
えき,駅,nhà ga,N5,3
[お]くに,[お]国,đất nước (của anh/chị),N5,3
いくら,,bao nhiêu tiền,N5,3
えん,円,yên,N5,3
イケメン[な],,đẹp trai,N5,4
きれい[な],綺麗[な],"xinh, đẹp, sạch",N5,4
しんせつ[な],親切[な],tốt bụng,N5,4
げんき[な],元気[な],khỏe mạnh,N5,4
しずか[な],静か[な],yên tĩnh,N5,4
にぎやか[な],賑やか[な],náo nhiệt,N5,4
ゆうめい[な],有名[な],nổi tiếng,N5,4
べんり[な],便利[な],tiện lợi,N5,4
たいせつ[な],大切[な],quan trọng,N5,4
ひま[な],暇[な],rảnh rỗi,N5,4
いそがしい,忙しい,bận rộn,N5,4
おおきい,大きい,"to, lớn",N5,4
ちいさい,小さい,"nhỏ, bé",N5,4
あたらしい,新しい,mới,N5,4
ふるい,古い,cũ,N5,4
いい (よい),,tốt,N5,4
わるい,悪い,xấu,N5,4
あつい,暑い,nóng (dùng cho thời tiết),N5,4
さむい,寒い,"lạnh, rét (dùng cho thời tiết)",N5,4
あつい,熱い,nóng (dùng cho cảm giác),N5,4
つめたい,冷たい,"lạnh, buốt (dùng cho cảm giác)",N5,4
むずかしい,難しい,khó,N5,4
やさしい,易しい／優しい,"dễ, hiền lành",N5,4
たかい,高い,"đắt, cao",N5,4
やすい,安い,rẻ,N5,4
ひくい,低い,thấp,N5,4
あかるい,明るい,"sáng sủa, tươi sáng",N5,4
くらい,暗い,"tối, u ám",N5,4
おもしろい,面白い,thú vị,N5,4
かわいい,可愛い,dễ thương,N5,4
おいしい,美味しい,ngon,N5,4
たのしい,楽しい,vui vẻ,N5,4
しろい,白い,trắng,N5,4
あかい,赤い,đỏ,N5,4
あおい,青い,xanh,N5,4
くろい,黒い,đen,N5,4
さびしい,寂しい,cô đơn,N5,4
はな,花,hoa,N5,4
さくら,桜,hoa anh đào,N5,4
やま,山,núi,N5,4
ふじさん,富士山,núi Phú Sỹ,N5,4
まち,町,"thị trấn, thành phố",N5,4
たべもの,食べ物,đồ ăn,N5,4
きもの,着物,kimono,N5,4
きかい,機械,máy móc,N5,4
ところ,所,"nơi, chỗ",N5,4
べんきょう,勉強,"học, việc học",N5,4
せいかつ,生活,"cuộc sống, sinh hoạt, đời sống",N5,4
ぶっか,物価,vật giá,N5,4
[お]しごと,[お]仕事,công việc,N5,4
りょうり,料理,món ăn,N5,4
パスポート,,hộ chiếu,N5,4
どう,,thế nào,N5,4
どんな,,như thế nào,N5,4
どれ,,cái nào,N5,4
とても,,rất,N5,4
あまり,,không ~ lắm (dùng với thể phủ định),N5,4
そして,,"hơn nữa, và (dùng để nối 2 câu)",N5,4
～が、～,,~ nhưng ~,N5,4
げつようび,月曜日,thứ hai,N5,5
かようび,火曜日,thứ ba,N5,5
すいようび,水曜日,thứ tư,N5,5
もくようび,木曜日,thứ năm,N5,5
きんようび,金曜日,thứ sáu,N5,5
どようび,土曜日,thứ bảy,N5,5
にちようび,日曜日,chủ nhật,N5,5
なんようび,何曜日,thứ mấy,N5,5
いま,今,bây giờ,N5,5
ごぜん,午前,"sáng, trước 12 giờ trưa",N5,5
ごご,午後,"chiều, sau 12 giờ trưa",N5,5
はん,半,"rưỡi, nửa",N5,5
あさ,朝,"buổi sáng, sáng",N5,5
ひる,昼,"buổi trưa, trưa",N5,5
ゆうがた,夕方,"buổi chiều, chiều",N5,5
ばん,晩,"buổi tối, tối",N5,5
よる,夜,"đêm, khuya",N5,5
おととい,一昨日,hôm kia,N5,5
きのう,昨日,hôm qua,N5,5
きょう,今日,hôm nay,N5,5
あした,明日,ngày mai,N5,5
あさって,明後日,ngày kia,N5,5
けさ,今朝,sáng nay,N5,5
こんばん,今晩,tối nay,N5,5
こんや,今夜,đêm nay,N5,5
やすみ,休み,"nghỉ, nghỉ phép, ngày nghỉ",N5,5
ひるやすみ,昼休み,nghỉ trưa,N5,5
まいあさ,毎朝,mỗi sáng,N5,5
まいばん,毎晩,mỗi tối,N5,5
まいにち,毎日,mỗi ngày,N5,5
なんじ,何時,mấy giờ,N5,5
なんぷん,何分,mấy phút,N5,5
はたらく,働く,làm việc,N5,5
やすむ,休む,"nghỉ, nghỉ ngơi",N5,5
おわる,終わる,"hết, kết thúc, xong",N5,5
おきる,起きる,thức dậy,N5,5
ねる,寝る,ngủ,N5,5
べんきょうする,勉強する,học,N5,5
～から,,từ ~,N5,5
～まで,,đến ~,N5,5
～と～,,~ và (dùng để nối hai danh từ),N5,5
しけん,試験,kỳ thi,N5,5
かいぎ,会議,cuộc họp,N5,5
ひこうき,飛行機,máy bay,N5,6
ふね,船,"thuyền, tàu thủy",N5,6
ちかてつ,地下鉄,tàu điện ngầm,N5,6
でんしゃ,電車,tàu điện,N5,6
バイク,,xe máy,N5,6
バス,,xe bus,N5,6
タクシー,,taxi,N5,6
じてんしゃ,自転車,xe đạp,N5,6
あるいて,歩いて,đi bộ,N5,6
ホテル,,khách sạn,N5,6
びじゅつかん,美術館,bảo tàng mỹ thuật,N5,6
ホーチミンし,ホーチミン市,Thành phố Hồ Chí Minh,N5,6
ハイズオン,,Hải Dương,N5,6
ハロンわん,ハロン湾,vịnh Hạ Long,N5,6
ともだち,友達,"bạn, bạn bè",N5,6
ひとりで,一人で,một mình,N5,6
ひと,人,người,N5,6
かぞく,家族,gia đình,N5,6
せんしゅう,先週,tuần trước,N5,6
こんしゅう,今週,tuần này,N5,6
らいしゅう,来週,tuần sau,N5,6
せんげつ,先月,tháng trước,N5,6
こんげつ,今月,tháng này,N5,6
らいげつ,来月,tháng sau,N5,6
きょねん,去年,năm ngoái,N5,6
ことし,今年,năm nay,N5,6
らいねん,来年,năm sau,N5,6
ついたち,一日,mồng 1,N5,6
ふつか,二日,mồng 2,N5,6
みっか,三日,mồng 3,N5,6
よっか,四日,mồng 4,N5,6
いつか,五日,mồng 5,N5,6
むいか,六日,mồng 6,N5,6
なのか,七日,mồng 7,N5,6
ようか,八日,mồng 8,N5,6
ここのか,九日,mồng 9,N5,6
とおか,十日,mồng 10,N5,6
じゅうよっか,十四日,ngày 14,N5,6
はつか,二十日,ngày 20,N5,6
にじゅうよっか,二十四日,ngày 24,N5,6
たんじょうび,誕生日,sinh nhật,N5,6
～ごろ,,khoảng ~,N5,6
なんにち,何日,"ngày mấy, ngày bao nhiêu, mấy ngày, bao nhiêu ngày",N5,6
なんがつ,何月,tháng mấy,N5,6
いつ,,"bao giờ, khi nào",N5,6
いく,行く,đi,N5,6
くる,来る,đến,N5,6
かえる,帰る,về,N5,6
にっき,日記,nhật kí,N5,6
ほんしゃ,本社,trụ sở chính,N5,6
くうこう,空港,sân bay,N5,6
チョコレート,,sô cô la,N5,7
パン,,bánh mỳ,N5,7
ごはん,ご飯,cơm,N5,7
たまご,卵,trứng,N5,7
にく,肉,thịt,N5,7
ぎゅうにく,牛肉,thịt bò,N5,7
さかな,魚,cá,N5,7
やさい,野菜,rau củ,N5,7
くだもの,果物,hoa quả,N5,7
みず,水,nước,N5,7
おちゃ,お茶,trà,N5,7
コーヒー,,cà phê,N5,7
ワイン,,rượu vang,N5,7
ジュース,,nước hoa quả,N5,7
ビール,,bia,N5,7
おさけ,お酒,rượu,N5,7
たばこ,,thuốc lá,N5,7
くすり,薬,thuốc,N5,7
てがみ,手紙,"thư, bức thư",N5,7
メール,,mail,N5,7
レポート,,bản báo cáo,N5,7
コメント,,bình luận,N5,7
おんがく,音楽,âm nhạc,N5,7
えいが,映画,"phim, điện ảnh",N5,7
しゃしん,写真,ảnh,N5,7
しゅくだい,宿題,bài về nhà,N5,7
テニス,,tennis,N5,7
サッカー,,bóng đá,N5,7
[お]はなみ,[お]花見,ngắm hoa anh đào,N5,7
レストラン,,nhà hàng,N5,7
カフェ,,quán cà phê,N5,7
にわ,庭,vườn,N5,7
みせ,店,"cửa hàng, tiệm",N5,7
おしょうがつ,お正月,"tết, năm mới",N5,7
みんなで,,mọi người cùng,N5,7
なに,何,"cái gì, gì",N5,7
よむ,読む,đọc,N5,7
かく,書く,viết,N5,7
かう,買う,mua,N5,7
「しゃしんを」とる,「写真を」撮る,chụp ảnh,N5,7
きく,聞く,nghe,N5,7
すう,吸う,hút thuốc,N5,7
する,,làm,N5,7
あう,会う,gặp,N5,7
のむ,飲む,uống,N5,7
たべる,食べる,ăn,N5,7
みる,見る,"xem, nhìn, trông",N5,7
しょくじする,食事する,dùng bữa,N5,7
いっしょに,一緒に,cùng nhau,N5,7
ちょっと,,một chút,N5,7
いつも,,"luôn luôn, lúc nào cũng",N5,7
ときどき,時々,thỉnh thoảng,N5,7
まいしゅう,毎週,mỗi tuần,N5,8
まいつき,毎月,mỗi tháng,N5,8
まいとし,毎年,mỗi năm,N5,8
ちち,父,bố (dùng khi nói về bố mình),N5,8
はは,母,mẹ (dùng khi nói về mẹ mình),N5,8
おとうさん,お父さん,bố (dùng khi nói về bố người khác và dùng khi xưng hô với bố mình),N5,8
おかあさん,お母さん,mẹ (dùng khi nói về mẹ người khác và dùng khi xưng hô với mẹ mình),N5,8
おっと／しゅじん,夫／主人,chồng (mình),N5,8
つま／かない,妻／家内,vợ (mình),N5,8
ごしゅじん,ご主人,chồng (của người khác),N5,8
おくさん,,vợ (của người khác),N5,8
て,手,tay,N5,8
はし,箸,đũa,N5,8
スプーン,,thìa,N5,8
フォーク,,"dĩa, nĩa",N5,8
ナイフ,,dao,N5,8
はさみ,,kéo,N5,8
かみ,紙,giấy,N5,8
はな,花,hoa,N5,8
シャツ,,áo sơ mi,N5,8
プレゼント,,quà tặng,N5,8
きっぷ,切符,vé,N5,8
おちゃわん,お茶碗,bát,N5,8
おかね,お金,tiền,N5,8
クリスマス,,Giáng sinh,N5,8
インターネット,,internet,N5,8
ニュース,,"tin tức, bản tin",N5,8
きる,切る,cắt,N5,8
おくる,送る,gửi,N5,8
もらう,貰う,nhận,N5,8
ならう,習う,học,N5,8
かす,貸す,cho mượn,N5,8
あげる,,"cho, tặng",N5,8
おしえる,教える,dạy,N5,8
「でんわを～」かける,「電話を～」かける,gọi điện thoại,N5,8
かりる,借りる,"vay, mượn",N5,8
もう,,đã,N5,8
まだ,,"vẫn, chưa",N5,8
これから,,"từ bây giờ, từ nay",N5,8
このあいだ,この間,"vừa rồi, hôm nọ",N5,8
すき[な],好き[な],thích,N5,9
きらい[な],嫌い[な],"ghét, không thích",N5,9
じょうず[な],上手[な],"giỏi, khéo",N5,9
へた[な],下手[な],kém,N5,9
いたい,痛い,đau,N5,9
おじいさん,お祖父さん,ông,N5,9
おじいちゃん,お祖父ちゃん,ông,N5,9
おばあさん,お祖母さん,bà,N5,9
おばあちゃん,お祖母ちゃん,bà,N5,9
はいしゃ,歯医者,nha sĩ,N5,9
りょうり,料理,"món ăn, việc nấu ăn",N5,9
のみもの,飲み物,đồ uống,N5,9
スポーツ,,thể thao,N5,9
やきゅう,野球,bóng chày,N5,9
ダンス,,"nhảy, khiêu vũ",N5,9
カラオケ,,karaoke,N5,9
うた,歌,bài hát,N5,9
かぶき,歌舞伎,kịch kabuki,N5,9
え,絵,"tranh, hội họa",N5,9
じ,字,chữ,N5,9
かんじ,漢字,chữ Hán,N5,9
かぜ,風邪,"cảm, cúm",N5,9
ねつ,熱,sốt,N5,9
じかん,時間,thời gian,N5,9
ようじ,用事,"việc bận, công chuyện",N5,9
やくそく,約束,"cuộc hẹn, lời hứa",N5,9
は,歯,răng,N5,9
どうして,,tại sao,N5,9
わかる,分かる,"hiểu, nắm được",N5,9
ある,有る,có (sở hữu),N5,9
よく,,"tốt, rõ (chỉ mức độ), thường",N5,9
だいたい,,"đại khái, đại thể",N5,9
たくさん,,nhiều,N5,9
すこし,少し,"ít, một ít",N5,9
ぜんぜん,全然,hoàn toàn ~ không,N5,9
はやく,早く,"sớm, nhanh",N5,9
～から,,vì ~,N5,9
ほかに,他に,"ngoài ra, bên cạnh đó",N5,9
コンサート,,buổi hòa nhạc,N5,9
チケット,,vé,N5,9
ざんねん,残念,đáng tiếc,N5,9
いろいろ[な],色々[な],"nhiều, đa dạng",N5,10
おとこのひと,男の人,người đàn ông,N5,10
おんなのひと,女の人,người phụ nữ,N5,10
おとこのこ,男の子,cậu bé,N5,10
おんなのこ,女の子,cô bé,N5,10
いぬ,犬,chó,N5,10
ねこ,猫,mèo,N5,10
き,木,"cây, gỗ",N5,10
もの,物,"vật, đồ vật",N5,10
はこ,箱,hộp,N5,10
れいぞうこ,冷蔵庫,tủ lạnh,N5,10
テーブル,,bàn,N5,10
ベッド,,giường,N5,10
こうえん,公園,công viên,N5,10
ほんや,本屋,hiệu sách,N5,10
いけ,池,cái ao,N5,10
～や,～屋,"hiệu ~, cửa hàng ~",N5,10
ちか,地下,tầng hầm,N5,10
うえ,上,trên,N5,10
した,下,dưới,N5,10
まえ,前,trước,N5,10
うしろ,後ろ,sau,N5,10
みぎ,右,phải,N5,10
ひだり,左,trái,N5,10
なか,中,"trong, giữa",N5,10
そと,外,ngoài,N5,10
となり,隣,bên cạnh,N5,10
ちかく,近く,gần,N5,10
あいだ,間,giữa,N5,10
ある,有る,"có (tồn tại, dùng cho đồ vật)",N5,10
いる,居る,"có, ở (tồn tại, dùng cho người và động vật)",N5,10
～や～など,,"~ và ~, [v.v.]",N5,10
こいびと,恋人,người yêu,N5,11
あに,兄,anh trai (mình),N5,11
おにいさん,お兄さん,anh trai (của người khác và khi xưng hô với anh trai mình),N5,11
あね,姉,chị gái (mình),N5,11
おねえさん,お姉さん,chị gái (của người khác và khi xưng hô với chị gái mình),N5,11
おとうと,弟,em trai (mình),N5,11
いもうと,妹,em gái (mình),N5,11
きょうだい,兄弟,anh em,N5,11
こども,子供,"trẻ con, trẻ em",N5,11
アイスクリーム,,kem,N5,11
はがき,,bưu thiếp,N5,11
おく,奥,bên trong cùng,N5,11
ほんだな,本棚,giá sách,N5,11
りょう,寮,kí túc xá,N5,11
いなか,田舎,"quê, nông thôn",N5,11
がいこく,外国,nước ngoài,N5,11
どうぶつ,動物,động vật,N5,11
ひるね,昼寝,ngủ trưa,N5,11
ひとつ,一つ,một cái,N5,11
ふたつ,二つ,hai cái,N5,11
みっつ,三つ,ba cái,N5,11
よっつ,四つ,bốn cái,N5,11
いつつ,五つ,năm cái,N5,11
むっつ,六つ,sáu cái,N5,11
ななつ,七つ,bảy cái,N5,11
やっつ,八つ,tám cái,N5,11
ここのつ,九つ,chín cái,N5,11
とお,十,mười cái,N5,11
ひとり,一人,một người,N5,11
ふたり,二人,hai người,N5,11
～にん,～人,~ người,N5,11
～だい,～台,~ cái,N5,11
～まい,～枚,"~ tờ, tấm",N5,11
～かい,～回,~ lần,N5,11
～じかん,～時間,~ tiếng,N5,11
～しゅうかん,～週間,~ tuần,N5,11
～かげつ,～ヶ月,~ tháng,N5,11
～ねん,～年,~ năm,N5,11
いくつ,,"mấy cái, bao nhiêu cái",N5,11
どのくらい,,bao lâu,N5,11
～ぐらい,,khoảng ~,N5,11
ぜんぶで,全部で,tổng cộng,N5,11
～だけ,,chỉ ~,N5,11
[こどもが～]いる,[子供が～]居る,có [con],N5,11
[にほんに～]いる,[日本に～]居る,"có, ở [Nhật]",N5,11
[じかん、おかねが～]かかる,,"mất, tốn [thời gian, tiền bạc]",N5,11
やすむ,休む,"nghỉ, nghỉ ngơi",N5,11
やく,焼く,nướng,N5,11
とおくに,遠くに,ở đằng xa,N5,11
ひつよう,必要,cần thiết,N5,11
りょうしん,両親,bố mẹ,N5,11
かんたん[な],簡単[な],"đơn giản, dễ",N5,12
ちかい,近い,gần,N5,12
とおい,遠い,xa,N5,12
はやい,早い、速い,"sớm, nhanh",N5,12
おそい,遅い,"muộn, chậm",N5,12
[ひとが～]おおい,[人が～]多い,nhiều [người],N5,12
[ひとが～]すくない,[人が～]少ない,ít [người],N5,12
あたたかい,暖かい,ấm,N5,12
すずしい,涼しい,mát,N5,12
あまい,甘い,ngọt,N5,12
からい,辛い,cay,N5,12
おもい,重い,nặng,N5,12
かるい,軽い,nhẹ,N5,12
よい,良い,"thích, chọn, dùng [chọn cafe, thích cafe]",N5,12
せがたかい,背が高い,cao (dùng cho người),N5,12
きせつ,季節,mùa,N5,12
はる,春,mùa xuân,N5,12
なつ,夏,mùa hè,N5,12
あき,秋,mùa thu,N5,12
ふゆ,冬,mùa đông,N5,12
てんき,天気,thời tiết,N5,12
あめ,雨,mưa,N5,12
ゆき,雪,tuyết,N5,12
くもり,曇り,trời âm u,N5,12
りんご,,táo,N5,12
オレンジ,,cam,N5,12
みかん,,quýt,N5,12
くうこう,空港,sân bay,N5,12
うみ,海,"biển, đại dương",N5,12
せかい,世界,thế giới,N5,12
パーティー,,tiệc,N5,12
「お」まつり,「お」祭り,lễ hội,N5,12
スピーチ,,"bài diễn thuyết, bài phát biểu",N5,12
テスト,,bài kiểm tra,N5,12
しけん,試験,"kỳ thi, bài thi",N5,12
いちばん,一番,nhất,N5,12
どちら,,cái nào,N5,12
どちらも,,"cả hai, cái nào cũng",N5,12
ずっと,,(hơn) hẳn (dùng để nhấn mạnh sự khác biệt giữa hai đối tượng),N5,12
はじめて,初めて,lần đầu tiên,N5,12
にほんしゅ,日本酒,rượu Nhật,N5,12
いっしょうけんめい,一生懸命,"chăm chỉ, cần cù",N5,12
ほしい,欲しい,muốn có,N5,13
さびしい,寂しい,"buồn, cô đơn",N5,13
ねむい,眠い,buồn ngủ,N5,13
こうちょう,校長,hiệu trưởng,N5,13
けいざい,経済,kinh tế,N5,13
びじゅつ,美術,mỹ thuật,N5,13
つり,,câu cá,N5,13
スキー,,trượt tuyết,N5,13
しやくしょ,市役所,tòa nhà thị chính,N5,13
プール,,bể bơi,N5,13
かわ,川,sông,N5,13
さしみ,刺身,sashimi,N5,13
ぎゅうどん,牛丼,cơm thịt bò,N5,13
ぎゅうにゅう,牛乳,sữa,N5,13
あそぶ,遊ぶ,chơi,N5,13
およぐ,泳ぐ,bơi,N5,13
[てがみを～]だす,[手紙を～]出す,gửi [thư],N5,13
[きっさてんに～]はいる,[喫茶店に～]入る,vào [quán giải khát],N5,13
[きっさてんを～]でる,[喫茶店を～]出る,"ra, ra khỏi [quán giải khát]",N5,13
むかえる,迎える,đón,N5,13
けっこんする,結婚する,"kết hôn, lập gia đình",N5,13
かいものする,買い物する,mua sắm,N5,13
[こうえんを～]さんぽする,[公園を～]散歩する,đi dạo [ở công viên],N5,13
なにか,,cái gì đó,N5,13
どこか,,"đâu đó, chỗ nào đó",N5,13
また,,lại,N5,13
しお,塩,muối,N5,14
さとう,砂糖,đường,N5,14
ふとん,布団,"chăn, nệm",N5,14
まど,窓,cửa sổ,N5,14
ドア,,cửa ra vào,N5,14
エアコン,,máy điều hòa,N5,14
でんき,電気,điện,N5,14
なまえ,名前,tên,N5,14
じゅうしょ,住所,địa chỉ,N5,14
でんわばんごう,電話番号,số điện thoại,N5,14
チケット,,vé,N5,14
きって,切手,tem,N5,14
ふうとう,封筒,phong bì,N5,14
げんきん,現金,tiền mặt,N5,14
いみ,意味,ý nghĩa,N5,14
ことば,言葉,"từ, tiếng",N5,14
よみかた,読み方,cách đọc,N5,14
～かた,～方,cách ~,N5,14
おなじ,同じ,giống,N5,14
てつだう,手伝う,"giúp, giúp đỡ",N5,14
はなす,話す,"nói, nói chuyện",N5,14
まつ,待つ,"đợi, chờ",N5,14
もつ,持つ,"mang, cầm",N5,14
とる,取る,lấy,N5,14
[あめが～]ふる,[雨が～]降る,mưa,N5,14
[みぎへ～]まがる,[右へ～]曲がる,"rẽ, quẹo [phải]",N5,14
いそぐ,急ぐ,"nhanh, gấp, vội",N5,14
よぶ,呼ぶ,gọi,N5,14
[じゅうしょを～]おしえる,[住所を～]教える,"nói, cho biết [địa chỉ]",N5,14
[でんきを～]つける,[電気を～]つける,"bật [điện,điều hòa]",N5,14
[でんきを～]けす,[電気を～]消す,tắt [điện],N5,14
[ドアを～]あける,[ドアを～]開ける,mở [cửa],N5,14
とめる,止める,"dừng, đỗ",N5,14
みせる,見せる,"cho xem, trình",N5,15
はじめる,始める,bắt đầu,N5,15
コピーする,,"copy, phô-tô",N5,15
ゆっくり,,"chậm, thong thả, thoải mái",N5,15
すぐ,,"ngay, lập tức",N5,15
あとで,後で,sau,N5,15
もうすこし,もう少し,thêm một chút nữa thôi,N5,15
もう～,,thêm ~,N5,15
いいですよ,,Được chứ./ Được ạ,N5,15
あぶない,危ない,nguy hiểm,N5,15
にっき,日記,nhật kí,N5,15
しりょう,資料,"tài liệu, tư liệu",N5,15
かいとうようし,解答用紙,giấy ghi đáp án,N5,15
カタログ,,catalogue,N5,15
フェイスブック,,facebook,N5,15
ファイル,,file; file đựng tài liệu,N5,15
でんしじしょ,電子辞書,kim từ điển,N5,15
ソフト,,phần mềm,N5,15
ケーキ,,bánh kem,N5,15
おかし,お菓子,bánh kẹo,N5,15
じこくひょう,時刻表,bảng giờ tàu chạy,N5,15
ふく,服,quần áo,N5,15
どうが,動画,video,N5,15
せんもん,専門,chuyên môn,N5,15
しゅうまつ,週末,cuối tuần,N5,15
かいぎちゅう,会議中,cuộc họp đang diễn ra,N5,15
どくしん,独身,độc thân,N5,15
みち,道,đường,N5,15
こうこう,高校,trường THPT,N5,15
つかう,使う,"dùng, sử dụng",N5,15
たつ,立つ,đứng,N5,15
すわる,座る,ngồi,N5,15
つくる,作る,"làm, chế tạo, sản xuất",N5,15
うる,売る,bán,N5,15
しる,知る,biết,N5,15
おく,置く,"đặt, để",N5,15
[おおさかに～]すむ,[大阪に～]住む,"sống, ở [Osaka]",N5,15
やめる,辞める,"bỏ, thôi",N5,15
りょこうする,旅行する,du lịch,N5,15
けんきゅうする,研究する,nghiên cứu,N5,15
チェックする,,kiểm tra,N5,15
しっている,知っている,biết,N5,15
すんでいる,住んでいる,"đang sống, ở",N5,15
つよい,強い,mạnh,N5,16
よわい,弱い,yếu,N5,16
わかい,若い,trẻ,N5,16
あたまがいい,頭がいい,thông minh,N5,16
かみ,髪,tóc,N5,16
かお,顔,mặt,N5,16
くち,口,miệng,N5,16
みみ,耳,tai,N5,16
め,目,mắt,N5,16
あし,足,chân,N5,16
みずうみ,湖,hồ,N5,16
ボタン,,"nút, cúc, khuy",N5,16
ジョギング,,việc chạy bộ,N5,16
シャワー,,vòi hoa sen,N5,16
[お]ふろ,[お]風呂,bồn tắm,N5,16
かくにん,確認,"sự xác nhận, sự kiểm tra",N5,16
どうやって,,làm thế nào~,N5,16
どの～,,cái nào~ (dùng với trường hợp từ ba thứ trở lên),N5,16
[おかねを～]だす,[お金を～]出す,"lấy ra, rút [tiền]",N5,16
